,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9932,-1,9933
1,1,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8656,-1,8657
2,2,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8741,-1,8742
3,3,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9671,-1,9672
4,4,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8699,-1,8700
5,5,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8742,-1,8743
6,6,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9674,-1,9675
7,7,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9248,-1,9249
8,8,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,7727,-1,7728
9,9,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9714,-1,9715
10,10,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8699,-1,8700
11,11,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8743,-1,8744
12,12,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,6671,-1,6672
13,13,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8701,-1,8702
14,14,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8698,-1,8699
15,15,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8740,-1,8741
16,16,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8699,-1,8700
17,17,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9713,-1,9714
18,18,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,6671,-1,6672
19,19,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9758,-1,9759
20,20,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9671,-1,9672
21,21,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9712,-1,9713
22,22,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9715,-1,9716
23,23,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9712,-1,9713
24,24,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,7730,-1,7731
25,25,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8700,-1,8701
26,26,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,6714,-1,6715
27,27,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8700,-1,8701
28,28,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,7220,-1,7221
29,29,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9712,-1,9713
30,30,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,6713,-1,6714
31,31,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9716,-1,9717
32,32,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9714,-1,9715
33,33,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,6717,-1,6718
34,34,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,7685,-1,7686
35,35,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9712,-1,9713
36,36,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,7685,-1,7686
37,37,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,7686,-1,7687
38,38,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,6253,-1,6254
39,39,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8742,-1,8743
40,40,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8698,-1,8699
41,41,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,7686,-1,7687
42,42,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9713,-1,9714
43,43,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9755,-1,9756
44,44,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8698,-1,8699
45,45,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,7685,-1,7686
46,46,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8697,-1,8698
47,47,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8741,-1,8742
48,48,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9672,-1,9673
49,49,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9754,-1,9755
50,50,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9712,-1,9713
51,51,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,6671,-1,6672
52,52,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8740,-1,8741
53,53,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8698,-1,8699
54,54,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8701,-1,8702
55,55,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,7685,-1,7686
56,56,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9714,-1,9715
57,57,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8700,-1,8701
58,58,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,6714,-1,6715
59,59,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,6713,-1,6714
60,60,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9716,-1,9717
61,61,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,6714,-1,6715
62,62,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9672,-1,9673
63,63,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9758,-1,9759
64,64,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9711,-1,9712
65,65,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8702,-1,8703
66,66,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8698,-1,8699
67,67,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9712,-1,9713
68,68,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,7684,-1,7685
69,69,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9711,-1,9712
70,70,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8700,-1,8701
71,71,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,6716,-1,6717
72,72,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,9711,-1,9712
73,73,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8698,-1,8699
74,74,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,7685,-1,7686
75,75,SDL2_Software,default,SDL2_Software_default,True,,getpixel,False,getpixel_False,8698,-1,8699
