,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,8365,-1,8366
1,1,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,7645,-1,7646
2,2,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,9289,-1,9290
3,3,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,9711,-1,9712
4,4,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,8698,-1,8699
5,5,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,9713,-1,9714
6,6,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,7688,-1,7689
7,7,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,8740,-1,8741
8,8,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,9712,-1,9713
9,9,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,6672,-1,6673
10,10,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,9252,-1,9253
11,11,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,8745,-1,8746
12,12,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,7690,-1,7691
13,13,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,9713,-1,9714
14,14,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,8699,-1,8700
15,15,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,8700,-1,8701
16,16,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,6713,-1,6714
17,17,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,8699,-1,8700
18,18,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,6714,-1,6715
19,19,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,9717,-1,9718
20,20,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,9207,-1,9208
21,21,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,7727,-1,7728
22,22,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,8277,-1,8278
23,23,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,8657,-1,8658
24,24,SDL2_Software,default,SDL2_Software_default,False,,windup_fullscreen,False,windup_fullscreen_False,7263,-1,7264
