,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30800,24491,6309
1,1,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30581,24602,5979
2,2,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,32615,26394,6221
3,3,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,28637,24319,4318
4,4,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29102,23018,6084
5,5,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,31636,25450,6186
6,6,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,32612,26393,6219
7,7,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30627,24489,6138
8,8,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30627,24382,6245
9,9,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29613,25503,4110
10,10,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29608,25477,4131
11,11,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30623,24442,6181
12,12,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30625,24482,6143
13,13,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29656,25480,4176
14,14,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29609,23429,6180
15,15,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,31602,25428,6174
16,16,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,28634,24552,4082
17,17,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,33622,27452,6170
18,18,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30155,24017,6138
19,19,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,31637,25416,6221
20,20,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,31602,25362,6240
21,21,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29608,23518,6090
22,22,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29652,23423,6229
23,23,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30627,24355,6272
24,24,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,28593,24266,4327
25,25,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,28603,22480,6123
26,26,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,28634,22475,6159
27,27,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29655,23442,6213
28,28,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,32611,26365,6246
29,29,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29612,23442,6170
30,30,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,31603,27303,4300
31,31,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29652,23342,6310
32,32,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30627,24300,6327
33,33,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,27581,23486,4095
34,34,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30619,24408,6211
35,35,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,31635,27422,4213
36,36,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29608,25402,4206
37,37,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29609,25461,4148
38,38,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,31645,25374,6271
39,39,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29615,25438,4177
40,40,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29612,25415,4197
41,41,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30619,24397,6222
42,42,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29615,23420,6195
43,43,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29611,23434,6177
44,44,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29651,23389,6262
45,45,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30619,24411,6208
46,46,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,31641,25434,6207
47,47,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,32571,26372,6199
48,48,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,29656,23511,6145
49,49,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30584,26502,4082
50,50,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,31641,25396,6245
51,51,SDL2_Software,rects,SDL2_Software_rects,True,2,getdbits,True,getdbits_True,30587,26337,4250
