,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9376,-1,9377
1,1,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,14877,-1,14878
2,2,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,4371,-1,4372
3,3,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,925,-1,926
4,4,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12230,-1,12231
5,5,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,5422,-1,5423
6,6,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,6052,-1,6053
7,7,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,3993,-1,3994
8,8,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,2526,-1,2527
9,9,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10257,-1,10258
10,10,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,505,-1,506
11,11,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9288,-1,9289
12,12,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10213,-1,10214
13,13,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,1093,-1,1094
14,14,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12524,-1,12525
15,15,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,5716,-1,5717
16,16,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,5002,-1,5003
17,17,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,14041,-1,14042
18,18,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,11768,-1,11769
19,19,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12990,-1,12991
20,20,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9036,-1,9037
21,21,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9792,-1,9793
22,22,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8700,-1,8701
23,23,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8069,-1,8070
24,24,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8237,-1,8238
25,25,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,3743,-1,3744
26,26,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10423,-1,10424
27,27,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10297,-1,10298
28,28,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8998,-1,8999
29,29,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9541,-1,9542
30,30,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,7019,-1,7020
31,31,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,7229,-1,7230
32,32,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8447,-1,8448
33,33,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9334,-1,9335
34,34,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,11898,-1,11899
35,35,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,7187,-1,7188
36,36,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10170,-1,10171
37,37,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,6136,-1,6137
38,38,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,11473,-1,11474
39,39,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10927,-1,10928
40,40,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12735,-1,12736
41,41,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8237,-1,8238
42,42,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12692,-1,12693
43,43,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,15634,-1,15635
44,44,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,15426,-1,15427
45,45,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10255,-1,10256
46,46,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,6893,-1,6894
47,47,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8238,-1,8239
48,48,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8784,-1,8785
49,49,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,4750,-1,4751
50,50,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9501,-1,9502
51,51,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12776,-1,12777
52,52,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,11390,-1,11391
53,53,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,13701,-1,13702
54,54,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,13448,-1,13449
55,55,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12737,-1,12738
56,56,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8536,-1,8537
57,57,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8448,-1,8449
58,58,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,1765,-1,1766
59,59,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,13785,-1,13786
60,60,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,6893,-1,6894
61,61,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,7943,-1,7944
62,62,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,11978,-1,11979
63,63,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9078,-1,9079
64,64,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,14671,-1,14672
65,65,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9835,-1,9836
66,66,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9876,-1,9877
67,67,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,7144,-1,7145
68,68,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,7229,-1,7230
69,69,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12188,-1,12189
70,70,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,3110,-1,3111
71,71,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9876,-1,9877
72,72,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,14205,-1,14206
73,73,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10170,-1,10171
74,74,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8238,-1,8239
75,75,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,5211,-1,5212
76,76,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,7695,-1,7696
77,77,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,6139,-1,6140
78,78,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,11642,-1,11643
79,79,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8241,-1,8242
80,80,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,6263,-1,6264
81,81,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10801,-1,10802
82,82,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,4287,-1,4288
83,83,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,673,-1,674
84,84,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,15089,-1,15090
85,85,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,16939,-1,16940
86,86,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10549,-1,10550
87,87,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,11137,-1,11138
88,88,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10297,-1,10298
89,89,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,14587,-1,14588
90,90,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,3446,-1,3447
91,91,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,7817,-1,7818
92,92,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8157,-1,8158
93,93,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9078,-1,9079
94,94,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,4206,-1,4207
95,95,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,11057,-1,11058
96,96,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,2186,-1,2187
97,97,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8112,-1,8113
98,98,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,4413,-1,4414
99,99,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,15382,-1,15383
100,100,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8658,-1,8659
101,101,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,16309,-1,16310
102,102,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,13911,-1,13912
103,103,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,2354,-1,2355
104,104,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,6767,-1,6768
105,105,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,4077,-1,4078
106,106,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,1429,-1,1430
107,107,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,6935,-1,6936
108,108,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9204,-1,9205
109,109,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,6430,-1,6431
110,110,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8321,-1,8322
111,111,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,5464,-1,5465
112,112,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10254,-1,10255
113,113,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,4963,-1,4964
114,114,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9502,-1,9503
115,115,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,13620,-1,13621
116,116,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,6556,-1,6557
117,117,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,2396,-1,2397
118,118,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10296,-1,10297
119,119,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,11557,-1,11558
120,120,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12314,-1,12315
121,121,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,16811,-1,16812
122,122,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12443,-1,12444
123,123,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,295,-1,296
124,124,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10507,-1,10508
125,125,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,5927,-1,5928
126,126,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,13154,-1,13155
127,127,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,14038,-1,14039
128,128,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,11012,-1,11013
129,129,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9498,-1,9499
130,130,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12147,-1,12148
131,131,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,10342,-1,10343
132,132,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,7901,-1,7902
133,133,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,9708,-1,9709
134,134,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,8406,-1,8407
135,135,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,5842,-1,5843
136,136,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,7103,-1,7104
137,137,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,12990,-1,12991
138,138,glumpy_pyglet,default,glumpy_pyglet_default,True,,getpixel,False,getpixel_False,13830,-1,13831
