,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,257,-1,258
1,1,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,126,-1,127
2,2,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,127,-1,128
3,3,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,421,-1,422
4,4,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,85,-1,86
5,5,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,211,-1,212
6,6,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,168,-1,169
7,7,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,211,-1,212
8,8,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,169,-1,170
9,9,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,127,-1,128
10,10,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,126,-1,127
11,11,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,127,-1,128
12,12,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,294,-1,295
13,13,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,85,-1,86
14,14,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,126,-1,127
15,15,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,127,-1,128
16,16,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,295,-1,296
17,17,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,253,-1,254
18,18,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,85,-1,86
19,19,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,127,-1,128
20,20,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,211,-1,212
21,21,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,127,-1,128
22,22,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,84,-1,85
23,23,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,168,-1,169
24,24,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,211,-1,212
25,25,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,84,-1,85
26,26,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,211,-1,212
27,27,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,211,-1,212
28,28,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,127,-1,128
29,29,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,253,-1,254
30,30,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,85,-1,86
31,31,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,294,-1,295
32,32,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,169,-1,170
33,33,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,84,-1,85
34,34,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,85,-1,86
35,35,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,127,-1,128
36,36,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,211,-1,212
37,37,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,84,-1,85
38,38,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,211,-1,212
39,39,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,169,-1,170
40,40,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,168,-1,169
41,41,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,84,-1,85
42,42,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,85,-1,86
43,43,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,127,-1,128
44,44,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,84,-1,85
45,45,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,297,-1,298
46,46,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,127,-1,128
47,47,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,211,-1,212
48,48,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,337,-1,338
49,49,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,127,-1,128
50,50,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,85,-1,86
51,51,glumpy_pyglet,default,glumpy_pyglet_default,True,,windup_fullscreen,False,windup_fullscreen_False,211,-1,212
