,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9800,2224,7576
1,1,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8614,2177,6437
2,2,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9627,1948,7679
3,3,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8614,4373,4241
4,4,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8656,4394,4262
5,5,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8613,1331,7282
6,6,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7643,3418,4225
7,7,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8617,4398,4219
8,8,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9587,1923,7664
9,9,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6633,3205,3428
10,10,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7603,3663,3940
11,11,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6671,3200,3471
12,12,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7647,3654,3993
13,13,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9585,2038,7547
14,14,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6629,3979,2650
15,15,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9631,2095,7536
16,16,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7642,3286,4356
17,17,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9375,1715,7660
18,18,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8573,4096,4477
19,19,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7220,5117,2103
20,20,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8616,4193,4423
21,21,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,5615,2360,3255
22,22,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,10643,3891,6752
23,23,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9629,2142,7487
24,24,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8614,5007,3607
25,25,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8656,4234,4422
26,26,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8614,4288,4326
27,27,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7647,3353,4294
28,28,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,5615,2436,3179
29,29,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6586,3339,3247
30,30,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7643,3467,4176
31,31,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6629,3386,3243
32,32,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6629,3042,3587
33,33,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9626,2013,7613
34,34,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7643,3377,4266
35,35,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9629,2125,7504
36,36,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6628,3313,3315
37,37,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9628,1975,7653
38,38,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9587,2283,7304
39,39,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8661,1543,7118
40,40,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7603,3290,4313
41,41,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9628,1874,7754
42,42,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7643,3213,4430
43,43,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7601,3276,4325
44,44,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8615,4387,4228
45,45,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6628,2932,3696
46,46,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9628,1824,7804
47,47,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8656,4348,4308
48,48,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9627,2174,7453
49,49,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6586,3025,3561
50,50,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6671,3121,3550
51,51,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9627,4759,4868
52,52,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7601,3432,4169
53,53,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9627,2125,7502
54,54,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,9627,2145,7482
55,55,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6628,2960,3668
56,56,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8613,5755,2858
57,57,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6632,2938,3694
58,58,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6675,3484,3191
59,59,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,5573,6263,-690
60,60,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8660,4323,4337
61,61,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,5615,6431,-816
62,62,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8615,4475,4140
63,63,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7644,3789,3855
64,64,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7645,3301,4344
65,65,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8614,4479,4135
66,66,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7645,3342,4303
67,67,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,8617,4386,4231
68,68,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7600,3480,4120
69,69,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7643,3374,4269
70,70,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,6628,3003,3625
71,71,glumpy_qt5,default,glumpy_qt5_default,False,5,getdbits,True,getdbits_True,7642,3358,4284
