,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6929,2813,4116
1,1,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,8571,3567,5004
2,2,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5658,2731,2927
3,3,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5618,2769,2849
4,4,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5615,3442,2173
5,5,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6629,2703,3926
6,6,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5657,3007,2650
7,7,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5616,2734,2882
8,8,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,4600,2701,1899
9,9,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5616,2686,2930
10,10,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6630,2732,3898
11,11,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5658,2706,2952
12,12,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,4601,3096,1505
13,13,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6633,2969,3664
14,14,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6168,2690,3478
15,15,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5615,2712,2903
16,16,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,7642,3239,4403
17,17,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6633,2923,3710
18,18,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,7642,3114,4528
19,19,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5576,2890,2686
20,20,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6629,2961,3668
21,21,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6670,3199,3471
22,22,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,4601,2987,1614
23,23,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6629,2689,3940
24,24,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6629,3141,3488
25,25,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5657,2850,2807
26,26,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,4601,2913,1688
27,27,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5657,2784,2873
28,28,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6586,2957,3629
29,29,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5615,2982,2633
30,30,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5658,2891,2767
31,31,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,4602,2919,1683
32,32,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6206,2721,3485
33,33,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6632,2968,3664
34,34,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5619,2671,2948
35,35,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5615,2710,2905
36,36,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5615,2692,2923
37,37,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,4646,2921,1725
38,38,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,4600,2720,1880
39,39,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5657,3071,2586
40,40,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6630,2697,3933
41,41,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5615,2873,2742
42,42,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6590,2804,3786
43,43,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6671,2722,3949
44,44,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,4601,2922,1679
45,45,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6629,2891,3738
46,46,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5615,2774,2841
47,47,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5657,2754,2903
48,48,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5614,2787,2827
49,49,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5615,2975,2640
50,50,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5659,2742,2917
51,51,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,5154,3172,1982
52,52,glumpy_qt5,default,glumpy_qt5_default,True,3,windup_fullscreen,True,windup_fullscreen_True,6628,2770,3858
