,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5195,-1,5196
1,1,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6671,-1,6672
2,2,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5700,-1,5701
3,3,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4686,-1,4687
4,4,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5699,-1,5700
5,5,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3717,-1,3718
6,6,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4686,-1,4687
7,7,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6757,-1,6758
8,8,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4685,-1,4686
9,9,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5700,-1,5701
10,10,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6755,-1,6756
11,11,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3675,-1,3676
12,12,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6713,-1,6714
13,13,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6713,-1,6714
14,14,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3714,-1,3715
15,15,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6713,-1,6714
16,16,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4728,-1,4729
17,17,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3674,-1,3675
18,18,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6756,-1,6757
19,19,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3672,-1,3673
20,20,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6756,-1,6757
21,21,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6670,-1,6671
22,22,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4728,-1,4729
23,23,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6717,-1,6718
24,24,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5700,-1,5701
25,25,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3672,-1,3673
26,26,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4728,-1,4729
27,27,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5700,-1,5701
28,28,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5745,-1,5746
29,29,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5700,-1,5701
30,30,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6713,-1,6714
31,31,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4686,-1,4687
32,32,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6674,-1,6675
33,33,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4266,-1,4267
34,34,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5742,-1,5743
35,35,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4686,-1,4687
36,36,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5742,-1,5743
37,37,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3714,-1,3715
38,38,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4689,-1,4690
39,39,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5700,-1,5701
40,40,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5700,-1,5701
41,41,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6755,-1,6756
42,42,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4770,-1,4771
43,43,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6714,-1,6715
44,44,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3671,-1,3672
45,45,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6713,-1,6714
46,46,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6714,-1,6715
47,47,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3714,-1,3715
48,48,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5742,-1,5743
49,49,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5699,-1,5700
50,50,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3671,-1,3672
51,51,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4728,-1,4729
52,52,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6672,-1,6673
53,53,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5784,-1,5785
54,54,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4643,-1,4644
55,55,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5742,-1,5743
56,56,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4689,-1,4690
57,57,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5279,-1,5280
58,58,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5699,-1,5700
59,59,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6672,-1,6673
60,60,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4771,-1,4772
61,61,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6671,-1,6672
62,62,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6713,-1,6714
63,63,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3714,-1,3715
64,64,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6714,-1,6715
65,65,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6716,-1,6717
66,66,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5699,-1,5700
67,67,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5699,-1,5700
68,68,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5745,-1,5746
69,69,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5699,-1,5700
70,70,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4686,-1,4687
71,71,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3714,-1,3715
72,72,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6714,-1,6715
73,73,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6717,-1,6718
74,74,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5702,-1,5703
75,75,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4732,-1,4733
76,76,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4686,-1,4687
77,77,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6713,-1,6714
78,78,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5699,-1,5700
79,79,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3714,-1,3715
80,80,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3717,-1,3718
81,81,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,6713,-1,6714
82,82,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,4686,-1,4687
83,83,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,5741,-1,5742
84,84,glumpy_sdl,default,glumpy_sdl_default,False,,getpixel,False,getpixel_False,3714,-1,3715
