,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,18332,-1,18333
1,1,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17360,-1,17361
2,2,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17864,-1,17865
3,3,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17398,-1,17399
4,4,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16935,-1,16936
5,5,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16850,-1,16851
6,6,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,15881,-1,15882
7,7,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16811,-1,16812
8,8,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17863,-1,17864
9,9,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17398,-1,17399
10,10,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,15879,-1,15880
11,11,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17821,-1,17822
12,12,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16427,-1,16428
13,13,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16343,-1,16344
14,14,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17402,-1,17403
15,15,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16850,-1,16851
16,16,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17824,-1,17825
17,17,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16853,-1,16854
18,18,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16892,-1,16893
19,19,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17358,-1,17359
20,20,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16849,-1,16850
21,21,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16385,-1,16386
22,22,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,15878,-1,15879
23,23,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17403,-1,17404
24,24,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16850,-1,16851
25,25,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17825,-1,17826
26,26,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17779,-1,17780
27,27,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,15923,-1,15924
28,28,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,15878,-1,15879
29,29,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,15836,-1,15837
30,30,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16385,-1,16386
31,31,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16853,-1,16854
32,32,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17825,-1,17826
33,33,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16851,-1,16852
34,34,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16892,-1,16893
35,35,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17821,-1,17822
36,36,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17402,-1,17403
37,37,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,16849,-1,16850
38,38,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17821,-1,17822
39,39,glumpy_sdl,rects,glumpy_sdl_rects,True,3,getdbits,True,getdbits_True,17402,-1,17403
