,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11577,-1,11578
1,1,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12668,-1,12669
2,2,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11741,-1,11742
3,3,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,15674,-1,15675
4,4,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12714,-1,12715
5,5,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12711,-1,12712
6,6,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,16725,-1,16726
7,7,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12716,-1,12717
8,8,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12671,-1,12672
9,9,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,15714,-1,15715
10,10,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,13685,-1,13686
11,11,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12753,-1,12754
12,12,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11700,-1,11701
13,13,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,14695,-1,14696
14,14,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12710,-1,12711
15,15,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12710,-1,12711
16,16,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12671,-1,12672
17,17,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,16727,-1,16728
18,18,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11700,-1,11701
19,19,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12203,-1,12204
20,20,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12756,-1,12757
21,21,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,10685,-1,10686
22,22,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11745,-1,11746
23,23,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11658,-1,11659
24,24,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11740,-1,11741
25,25,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12715,-1,12716
26,26,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11697,-1,11698
27,27,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11656,-1,11657
28,28,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11745,-1,11746
29,29,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,15713,-1,15714
30,30,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12673,-1,12674
31,31,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12711,-1,12712
32,32,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11701,-1,11702
33,33,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11698,-1,11699
34,34,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,15712,-1,15713
35,35,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,14742,-1,14743
36,36,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12669,-1,12670
37,37,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11744,-1,11745
38,38,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12716,-1,12717
39,39,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11656,-1,11657
40,40,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12756,-1,12757
41,41,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12674,-1,12675
42,42,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11697,-1,11698
43,43,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11700,-1,11701
44,44,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12249,-1,12250
45,45,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,14741,-1,14742
46,46,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12671,-1,12672
47,47,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11702,-1,11703
48,48,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,15752,-1,15753
49,49,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12669,-1,12670
50,50,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,18710,-1,18711
51,51,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,11742,-1,11743
52,52,psychopy_pyglet,default,psychopy_pyglet_default,False,,bitblt,False,bitblt_False,12671,-1,12672
