,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7776,-1,7777
1,1,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7685,-1,7686
2,2,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,6717,-1,6718
3,3,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8703,-1,8704
4,4,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8703,-1,8704
5,5,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,6713,-1,6714
6,6,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8703,-1,8704
7,7,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7727,-1,7728
8,8,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,6675,-1,6676
9,9,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8740,-1,8741
10,10,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7685,-1,7686
11,11,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7727,-1,7728
12,12,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8698,-1,8699
13,13,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8702,-1,8703
14,14,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7727,-1,7728
15,15,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7684,-1,7685
16,16,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7730,-1,7731
17,17,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8700,-1,8701
18,18,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7728,-1,7729
19,19,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,6672,-1,6673
20,20,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8741,-1,8742
21,21,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,6717,-1,6718
22,22,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8699,-1,8700
23,23,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8701,-1,8702
24,24,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,6713,-1,6714
25,25,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7728,-1,7729
26,26,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7684,-1,7685
27,27,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,6718,-1,6719
28,28,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8700,-1,8701
29,29,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7726,-1,7727
30,30,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,9715,-1,9716
31,31,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7684,-1,7685
32,32,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8698,-1,8699
33,33,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8742,-1,8743
34,34,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7686,-1,7687
35,35,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7685,-1,7686
36,36,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8740,-1,8741
37,37,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8700,-1,8701
38,38,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7727,-1,7728
39,39,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,8700,-1,8701
40,40,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,6714,-1,6715
41,41,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,10683,-1,10684
42,42,pygame,default,pygame_default,True,,windup_fullscreen,False,windup_fullscreen_False,7727,-1,7728
