,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13309,-1,13310
1,1,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14698,-1,14699
2,2,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13684,-1,13685
3,3,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,10729,-1,10730
4,4,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13686,-1,13687
5,5,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,12714,-1,12715
6,6,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13684,-1,13685
7,7,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14739,-1,14740
8,8,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14700,-1,14701
9,9,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13685,-1,13686
10,10,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13728,-1,13729
11,11,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,15711,-1,15712
12,12,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13683,-1,13684
13,13,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14699,-1,14700
14,14,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13725,-1,13726
15,15,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14238,-1,14239
16,16,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14702,-1,14703
17,17,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14703,-1,14704
18,18,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14741,-1,14742
19,19,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13684,-1,13685
20,20,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13686,-1,13687
21,21,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14702,-1,14703
22,22,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13685,-1,13686
23,23,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13725,-1,13726
24,24,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14743,-1,14744
25,25,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13688,-1,13689
26,26,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14696,-1,14697
27,27,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,10729,-1,10730
28,28,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14696,-1,14697
29,29,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14660,-1,14661
30,30,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,14744,-1,14745
31,31,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13730,-1,13731
32,32,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13683,-1,13684
33,33,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13687,-1,13688
34,34,pyqt5,default,pyqt5_default,False,,bitblt,False,bitblt_False,13724,-1,13725
