,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,22302,16373,5929
1,1,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,20609,14743,5866
2,2,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,21583,17813,3770
3,3,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,21631,15854,5777
4,4,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,18628,12493,6135
5,5,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,19639,13425,6214
6,6,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,19638,15791,3847
7,7,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,21588,17871,3717
8,8,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,20613,14215,6398
9,9,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,20613,14702,5911
10,10,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,21671,15846,5825
11,11,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,22132,15972,6160
12,12,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,20612,14596,6016
13,13,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,19600,13610,5990
14,14,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,19646,15969,3677
15,15,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,21627,15514,6113
16,16,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,20610,14754,5856
17,17,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,20617,17008,3609
18,18,pyqt5,rects,pyqt5_rects,True,2,getpixel,True,getpixel_True,19638,15908,3730
