,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22814,19668,3146
1,1,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21585,17508,4077
2,2,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21582,17434,4148
3,3,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,24625,20239,4386
4,4,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22599,18204,4395
5,5,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21626,17454,4172
6,6,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,20651,18156,2495
7,7,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,25645,21218,4427
8,8,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,18624,16059,2565
9,9,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22602,18439,4163
10,10,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,23609,19257,4352
11,11,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21626,17478,4148
12,12,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,23615,19453,4162
13,13,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,23610,19230,4380
14,14,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,23659,19185,4474
15,15,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22599,18488,4111
16,16,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,20612,18078,2534
17,17,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,24624,20227,4397
18,18,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,24629,20205,4424
19,19,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22596,18353,4243
20,20,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22682,18338,4344
21,21,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22601,18531,4070
22,22,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21626,17276,4350
23,23,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22598,18470,4128
24,24,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21625,17174,4451
25,25,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22646,18496,4150
26,26,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22602,18495,4107
27,27,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21632,17507,4125
28,28,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21628,17510,4118
29,29,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21626,17522,4104
30,30,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,23611,19356,4255
31,31,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,23616,19346,4270
32,32,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,20616,16337,4279
33,33,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,20570,18311,2259
34,34,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22636,18235,4401
35,35,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22645,18539,4106
36,36,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,19595,17302,2293
37,37,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21669,17569,4100
38,38,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22600,18193,4407
39,39,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22600,18399,4201
40,40,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21622,19177,2445
41,41,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,20612,18139,2473
42,42,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21671,17496,4175
43,43,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,18583,16138,2445
44,44,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21627,17333,4294
45,45,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,20655,16561,4094
46,46,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22556,18209,4347
47,47,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,23657,19328,4329
48,48,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22646,18603,4043
49,49,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22599,18370,4229
50,50,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22638,18370,4268
51,51,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,19600,17034,2566
52,52,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,23650,19551,4099
53,53,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22557,18285,4272
54,54,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22685,18472,4213
55,55,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22599,18442,4157
56,56,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21623,17455,4168
57,57,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22594,18383,4211
58,58,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22637,18478,4159
59,59,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22636,18433,4203
60,60,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22594,18476,4118
61,61,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21628,19013,2615
62,62,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22645,18356,4289
63,63,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,23613,19559,4054
64,64,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,22645,18411,4234
65,65,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,20571,18077,2494
66,66,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,23659,19440,4219
67,67,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,20567,18053,2514
68,68,pyqt6,rects,pyqt6_rects,True,2,windup_fullscreen,True,windup_fullscreen_True,21667,17449,4218
