,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,win32,default,win32_default,False,2,bitblt,True,bitblt_True,12376,7932,4444
1,1,win32,default,win32_default,False,2,bitblt,True,bitblt_True,13556,9194,4362
2,2,win32,default,win32_default,False,2,bitblt,True,bitblt_True,12631,8351,4280
3,3,win32,default,win32_default,False,2,bitblt,True,bitblt_True,14615,8345,6270
4,4,win32,default,win32_default,False,2,bitblt,True,bitblt_True,13642,7467,6175
5,5,win32,default,win32_default,False,2,bitblt,True,bitblt_True,13555,7424,6131
6,6,win32,default,win32_default,False,2,bitblt,True,bitblt_True,15625,11318,4307
7,7,win32,default,win32_default,False,2,bitblt,True,bitblt_True,13642,7275,6367
8,8,win32,default,win32_default,False,2,bitblt,True,bitblt_True,16598,10379,6219
9,9,win32,default,win32_default,False,2,bitblt,True,bitblt_True,15585,9485,6100
10,10,win32,default,win32_default,False,2,bitblt,True,bitblt_True,12668,6518,6150
11,11,win32,default,win32_default,False,2,bitblt,True,bitblt_True,13597,7393,6204
12,12,win32,default,win32_default,False,2,bitblt,True,bitblt_True,13646,7471,6175
13,13,win32,default,win32_default,False,2,bitblt,True,bitblt_True,16598,10380,6218
14,14,win32,default,win32_default,False,2,bitblt,True,bitblt_True,14655,10308,4347
15,15,win32,default,win32_default,False,2,bitblt,True,bitblt_True,15589,9411,6178
16,16,win32,default,win32_default,False,2,bitblt,True,bitblt_True,12670,8160,4510
17,17,win32,default,win32_default,False,2,bitblt,True,bitblt_True,12588,8311,4277
18,18,win32,default,win32_default,False,2,bitblt,True,bitblt_True,15625,9468,6157
19,19,win32,default,win32_default,False,2,bitblt,True,bitblt_True,14656,8449,6207
20,20,win32,default,win32_default,False,2,bitblt,True,bitblt_True,15588,11328,4260
21,21,win32,default,win32_default,False,2,bitblt,True,bitblt_True,15632,9451,6181
22,22,win32,default,win32_default,False,2,bitblt,True,bitblt_True,13600,7450,6150
23,23,win32,default,win32_default,False,2,bitblt,True,bitblt_True,16175,10110,6065
24,24,win32,default,win32_default,False,2,bitblt,True,bitblt_True,13644,7452,6192
25,25,win32,default,win32_default,False,2,bitblt,True,bitblt_True,13602,7432,6170
26,26,win32,default,win32_default,False,2,bitblt,True,bitblt_True,11617,7338,4279
27,27,win32,default,win32_default,False,2,bitblt,True,bitblt_True,16641,10024,6617
28,28,win32,default,win32_default,False,2,bitblt,True,bitblt_True,14573,8443,6130
29,29,win32,default,win32_default,False,2,bitblt,True,bitblt_True,15667,11250,4417
30,30,win32,default,win32_default,False,2,bitblt,True,bitblt_True,13639,7416,6223
31,31,win32,default,win32_default,False,2,bitblt,True,bitblt_True,14569,8413,6156
32,32,win32,default,win32_default,False,2,bitblt,True,bitblt_True,12671,6450,6221
33,33,win32,default,win32_default,False,2,bitblt,True,bitblt_True,12589,8321,4268
