,id,framework,complexity,program,ete,fw,diff
0,0,javaswing,default,bitblt_fw_True,104100,0,104100
1,1,javaswing,default,bitblt_fw_True,96120,0,96120
2,2,javaswing,default,bitblt_fw_True,103936,0,103936
3,3,javaswing,default,bitblt_fw_True,98000,0,98000
4,4,javaswing,default,bitblt_fw_True,106300,0,106300
5,5,javaswing,default,bitblt_fw_True,96324,0,96324
6,6,javaswing,default,bitblt_fw_True,81316,0,81316
7,7,javaswing,default,bitblt_fw_True,86068,0,86068
8,8,javaswing,default,bitblt_fw_True,90504,0,90504
9,9,javaswing,default,bitblt_fw_True,61188,0,61188
10,10,javaswing,default,bitblt_fw_True,91288,0,91288
11,11,javaswing,default,bitblt_fw_True,93908,0,93908
12,12,javaswing,default,bitblt_fw_True,86908,0,86908
13,13,javaswing,default,bitblt_fw_True,92532,0,92532
14,14,javaswing,default,bitblt_fw_True,95272,0,95272
15,15,javaswing,default,bitblt_fw_True,108784,0,108784
16,16,javaswing,default,bitblt_fw_True,99244,0,99244
17,17,javaswing,default,bitblt_fw_True,92300,0,92300
18,18,javaswing,default,bitblt_fw_True,96240,0,96240
19,19,javaswing,default,bitblt_fw_True,96820,106084,-9264
20,20,javaswing,default,bitblt_fw_True,84564,106084,-21520
21,21,javaswing,default,bitblt_fw_True,76416,106084,-29668
22,22,javaswing,default,bitblt_fw_True,100260,106084,-5824
23,23,javaswing,default,bitblt_fw_True,83996,106084,-22088
24,24,javaswing,default,bitblt_fw_True,74604,106084,-31480
25,25,javaswing,default,bitblt_fw_True,93788,53370,40418
26,26,javaswing,default,bitblt_fw_True,69120,53370,15750
27,27,javaswing,default,bitblt_fw_True,88308,53370,34938
28,28,javaswing,default,bitblt_fw_True,89164,53370,35794
29,29,javaswing,default,bitblt_fw_True,314132,53370,260762
30,30,javaswing,default,bitblt_fw_True,81988,53370,28618
31,31,javaswing,default,bitblt_fw_True,107680,101246,6434
32,32,javaswing,default,bitblt_fw_True,102316,101246,1070
33,33,javaswing,default,bitblt_fw_True,68584,101246,-32662
34,34,javaswing,default,bitblt_fw_True,90940,101246,-10306
35,35,javaswing,default,bitblt_fw_True,107636,101246,6390
36,36,javaswing,default,bitblt_fw_True,97600,101246,-3646
37,37,javaswing,default,bitblt_fw_True,90188,101246,-11058
38,38,javaswing,default,bitblt_fw_True,101376,93664,7712
39,39,javaswing,default,bitblt_fw_True,86260,93664,-7404
40,40,javaswing,default,bitblt_fw_True,86408,93664,-7256
41,41,javaswing,default,bitblt_fw_True,84496,93664,-9168
42,42,javaswing,default,bitblt_fw_True,80984,93664,-12680
43,43,javaswing,default,bitblt_fw_True,315740,93664,222076
