,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,27784,1,27783
1,1,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,28916,0,28916
2,2,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,33152,2,33150
3,3,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26652,2,26650
4,4,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25432,2,25430
5,5,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,24076,2,24074
6,6,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25892,2,25890
7,7,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26224,2,26222
8,8,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,27236,2,27234
9,9,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25436,2,25434
10,10,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,24652,2,24650
11,11,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25316,0,25316
12,12,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,30584,2,30582
13,13,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,27340,2,27338
14,14,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,29456,2,29454
15,15,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25208,2,25206
16,16,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26208,2,26206
17,17,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26108,2,26106
18,18,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,28228,2,28226
19,19,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26316,0,26316
20,20,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,33736,1,33735
21,21,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26784,2,26782
22,22,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,23536,1,23535
23,23,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,24432,1,24431
24,24,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,27680,2,27678
25,25,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26328,2,26326
26,26,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26204,2,26202
27,27,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25320,2,25318
28,28,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25088,2,25086
29,29,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,24636,2,24634
30,30,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26104,1,26103
31,31,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,27220,2,27218
32,32,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25872,1,25871
33,33,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25872,1,25871
34,34,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25664,2,25662
35,35,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,24208,2,24206
36,36,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25996,1,25995
37,37,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26768,2,26766
38,38,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25764,2,25762
39,39,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26216,1,26215
40,40,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,23636,1,23635
41,41,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26108,4,26104
42,42,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25204,2,25202
43,43,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,32820,1,32819
44,44,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,27452,2,27450
45,45,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,27444,1,27443
46,46,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,25888,2,25886
47,47,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,26544,1,26543
48,48,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,24528,1,24527
49,49,Java2D,rects,Java2D_rects,autoit_reader,True,autoit_reader_True,27004,1,27003
