,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16244,-1,16245
1,1,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15812,-1,15813
2,2,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16476,-1,16477
3,3,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15788,-1,15789
4,4,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,14912,-1,14913
5,5,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16684,-1,16685
6,6,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16468,-1,16469
7,7,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16356,-1,16357
8,8,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17028,-1,17029
9,9,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17036,-1,17037
10,10,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17140,-1,17141
11,11,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16352,-1,16353
12,12,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17140,-1,17141
13,13,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15240,-1,15241
14,14,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16032,-1,16033
15,15,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16584,-1,16585
16,16,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16708,-1,16709
17,17,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15008,-1,15009
18,18,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15568,-1,15569
19,19,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17144,-1,17145
20,20,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17596,-1,17597
21,21,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15356,-1,15357
22,22,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15460,-1,15461
23,23,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16804,-1,16805
24,24,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17712,-1,17713
25,25,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15680,-1,15681
26,26,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17040,-1,17041
27,27,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17028,-1,17029
28,28,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17028,-1,17029
29,29,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17584,-1,17585
30,30,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17824,-1,17825
31,31,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16132,-1,16133
32,32,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15460,-1,15461
33,33,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17264,-1,17265
34,34,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15924,-1,15925
35,35,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17256,-1,17257
36,36,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,18272,-1,18273
37,37,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17036,-1,17037
38,38,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15796,-1,15797
39,39,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17136,-1,17137
40,40,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16488,-1,16489
41,41,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16912,-1,16913
42,42,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16020,-1,16021
43,43,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17472,-1,17473
44,44,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17140,-1,17141
45,45,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17144,-1,17145
46,46,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16572,-1,16573
47,47,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,16020,-1,16021
48,48,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,17368,-1,17369
49,49,pygame,default,pygame_default,autoit_reader,False,autoit_reader_False,15692,-1,15693
