,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,26139,22761,3378
1,1,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25383,21084,4299
2,2,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,24777,20172,4605
3,3,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25617,21301,4316
4,4,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25719,21248,4471
5,5,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25647,21364,4283
6,6,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25745,21357,4388
7,7,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25615,21241,4374
8,8,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25555,21240,4315
9,9,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25791,21076,4715
10,10,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,26245,21955,4290
11,11,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,22473,19805,2668
12,12,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25089,20402,4687
13,13,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,26245,21710,4535
14,14,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25360,20776,4584
15,15,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25624,20942,4682
16,16,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,27010,23449,3561
17,17,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,24740,20242,4498
18,18,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,24875,20411,4464
19,19,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25026,20650,4376
20,20,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25046,20448,4598
21,21,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,24759,20206,4553
22,22,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,26441,22315,4126
23,23,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,26181,21885,4296
24,24,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,24949,20525,4424
25,25,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25400,20918,4482
26,26,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,24527,19832,4695
27,27,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,26296,21750,4546
28,28,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,23827,21239,2588
29,29,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25215,20908,4307
30,30,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,26584,22147,4437
31,31,516,FLTK,rects,FLTK_rects,fullscreen,2,windup_fullscreen,25528,21149,4379
