,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,6574,2849,3725
1,1,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,6702,3401,3301
2,2,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,9329,2604,6725
3,3,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,6989,1377,5612
4,4,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,6743,1424,5319
5,5,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,4305,2661,1644
6,6,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,6749,2585,4164
7,7,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5983,1379,4604
8,8,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,4497,2762,1735
9,9,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5708,2670,3038
10,10,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,4833,2686,2147
11,11,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,6509,1379,5130
12,12,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,4497,2785,1712
13,13,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5407,1478,3929
14,14,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5359,2643,2716
15,15,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5909,2629,3280
16,16,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,3981,1504,2477
17,17,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5264,2606,2658
18,18,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5375,1335,4040
19,19,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5277,2720,2557
20,20,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5860,1411,4449
21,21,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,7096,2632,4464
22,22,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5263,2694,2569
23,23,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,6197,2585,3612
24,24,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,6762,1368,5394
25,25,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,6126,2760,3366
26,26,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5855,1338,4517
27,27,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,5551,1349,4202
28,28,515,GLEW_SDL,default,GLEW_SDL_default,fullscreen,3,windup_fullscreen,6239,2639,3600
