,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9929,5782,4147
1,1,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9781,5345,4436
2,2,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9402,5201,4201
3,3,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,12643,6162,6481
4,4,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10168,5822,4346
5,5,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,11195,6976,4219
6,6,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10934,7062,3872
7,7,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10650,4128,6522
8,8,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10537,4109,6428
9,9,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,11416,7155,4261
10,10,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10600,3996,6604
11,11,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10720,4147,6573
12,12,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10692,6540,4152
13,13,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9960,5695,4265
14,14,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10250,5906,4344
15,15,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9385,5066,4319
16,16,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9385,5149,4236
17,17,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10202,5822,4380
18,18,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10776,6533,4243
19,19,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9206,6742,2464
20,20,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9686,5537,4149
21,21,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10074,5848,4226
22,22,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9908,5594,4314
23,23,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9673,5371,4302
24,24,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10024,3630,6394
25,25,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9112,4638,4474
26,26,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10573,4053,6520
27,27,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10937,4095,6842
28,28,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10557,3967,6590
29,29,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,11110,4460,6650
30,30,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9902,5802,4100
31,31,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9482,5238,4244
32,32,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,11084,6754,4330
33,33,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10264,5995,4269
34,34,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9097,4922,4175
35,35,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,11640,7364,4276
36,36,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9073,4836,4237
37,37,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9530,5260,4270
38,38,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,10489,3787,6702
39,39,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9289,5048,4241
40,40,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9066,4999,4067
41,41,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9737,5444,4293
42,42,496,GLUT,image,GLUT_image,fullscreen,2,getpixel,9737,5578,4159
