,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,512,GTK,default,GTK_default,small,5,getdbits,7915,3708,4207
1,1,512,GTK,default,GTK_default,small,5,getdbits,8858,2336,6522
2,2,512,GTK,default,GTK_default,small,5,getdbits,9674,3470,6204
3,3,512,GTK,default,GTK_default,small,5,getdbits,7947,3646,4301
4,4,512,GTK,default,GTK_default,small,5,getdbits,8749,2349,6400
5,5,512,GTK,default,GTK_default,small,5,getdbits,8523,4305,4218
6,6,512,GTK,default,GTK_default,small,5,getdbits,9073,2603,6470
7,7,512,GTK,default,GTK_default,small,5,getdbits,8810,2617,6193
8,8,512,GTK,default,GTK_default,small,5,getdbits,7804,3467,4337
9,9,512,GTK,default,GTK_default,small,5,getdbits,8714,4444,4270
10,10,512,GTK,default,GTK_default,small,5,getdbits,7420,3180,4240
11,11,512,GTK,default,GTK_default,small,5,getdbits,8348,3855,4493
12,12,512,GTK,default,GTK_default,small,5,getdbits,8251,4010,4241
13,13,512,GTK,default,GTK_default,small,5,getdbits,8332,3858,4474
14,14,512,GTK,default,GTK_default,small,5,getdbits,8347,3860,4487
15,15,512,GTK,default,GTK_default,small,5,getdbits,8619,4232,4387
16,16,512,GTK,default,GTK_default,small,5,getdbits,8826,2308,6518
17,17,512,GTK,default,GTK_default,small,5,getdbits,9722,3160,6562
18,18,512,GTK,default,GTK_default,small,5,getdbits,8859,2393,6466
19,19,512,GTK,default,GTK_default,small,5,getdbits,7290,3145,4145
20,20,512,GTK,default,GTK_default,small,5,getdbits,9529,3252,6277
21,21,512,GTK,default,GTK_default,small,5,getdbits,8737,2341,6396
22,22,512,GTK,default,GTK_default,small,5,getdbits,8523,4200,4323
23,23,512,GTK,default,GTK_default,small,5,getdbits,8716,2496,6220
24,24,512,GTK,default,GTK_default,small,5,getdbits,8943,2538,6405
25,25,512,GTK,default,GTK_default,small,5,getdbits,9167,2679,6488
26,26,512,GTK,default,GTK_default,small,5,getdbits,8585,4150,4435
27,27,512,GTK,default,GTK_default,small,5,getdbits,8490,4176,4314
28,28,512,GTK,default,GTK_default,small,5,getdbits,8234,3808,4426
29,29,512,GTK,default,GTK_default,small,5,getdbits,9529,3368,6161
30,30,512,GTK,default,GTK_default,small,5,getdbits,7660,3459,4201
31,31,512,GTK,default,GTK_default,small,5,getdbits,8287,3817,4470
32,32,512,GTK,default,GTK_default,small,5,getdbits,8715,2512,6203
33,33,512,GTK,default,GTK_default,small,5,getdbits,9097,2852,6245
34,34,512,GTK,default,GTK_default,small,5,getdbits,7852,3523,4329
35,35,512,GTK,default,GTK_default,small,5,getdbits,8248,3878,4370
36,36,512,GTK,default,GTK_default,small,5,getdbits,7660,3479,4181
37,37,512,GTK,default,GTK_default,small,5,getdbits,8282,3994,4288
38,38,512,GTK,default,GTK_default,small,5,getdbits,7576,3414,4162
39,39,512,GTK,default,GTK_default,small,5,getdbits,8249,3849,4400
40,40,512,GTK,default,GTK_default,small,5,getdbits,8350,4121,4229
41,41,512,GTK,default,GTK_default,small,5,getdbits,8282,3960,4322
42,42,512,GTK,default,GTK_default,small,5,getdbits,9579,3072,6507
43,43,512,GTK,default,GTK_default,small,5,getdbits,8906,2473,6433
44,44,512,GTK,default,GTK_default,small,5,getdbits,8284,4367,3917
45,45,512,GTK,default,GTK_default,small,5,getdbits,8093,3683,4410
46,46,512,GTK,default,GTK_default,small,5,getdbits,8766,2282,6484
47,47,512,GTK,default,GTK_default,small,5,getdbits,7564,3268,4296
48,48,512,GTK,default,GTK_default,small,5,getdbits,7661,3463,4198
49,49,512,GTK,default,GTK_default,small,5,getdbits,8235,4189,4046
50,50,512,GTK,default,GTK_default,small,5,getdbits,9099,2745,6354
51,51,512,GTK,default,GTK_default,small,5,getdbits,9529,3286,6243
52,52,512,GTK,default,GTK_default,small,5,getdbits,7768,3376,4392
53,53,512,GTK,default,GTK_default,small,5,getdbits,9145,2634,6511
54,54,512,GTK,default,GTK_default,small,5,getdbits,9529,3136,6393
55,55,512,GTK,default,GTK_default,small,5,getdbits,8427,4223,4204
56,56,512,GTK,default,GTK_default,small,5,getdbits,8762,4447,4315
57,57,512,GTK,default,GTK_default,small,5,getdbits,8570,4166,4404
58,58,512,GTK,default,GTK_default,small,5,getdbits,9354,2824,6530
59,59,512,GTK,default,GTK_default,small,5,getdbits,8092,3832,4260
60,60,512,GTK,default,GTK_default,small,5,getdbits,8874,4572,4302
61,61,512,GTK,default,GTK_default,small,5,getdbits,8592,2369,6223
62,62,512,GTK,default,GTK_default,small,5,getdbits,8906,2596,6310
63,63,512,GTK,default,GTK_default,small,5,getdbits,9115,2740,6375
64,64,512,GTK,default,GTK_default,small,5,getdbits,8907,2683,6224
65,65,512,GTK,default,GTK_default,small,5,getdbits,9768,3231,6537
66,66,512,GTK,default,GTK_default,small,5,getdbits,8476,2337,6139
67,67,512,GTK,default,GTK_default,small,5,getdbits,9193,2898,6295
68,68,512,GTK,default,GTK_default,small,5,getdbits,9760,3206,6554
69,69,512,GTK,default,GTK_default,small,5,getdbits,9385,2798,6587
70,70,512,GTK,default,GTK_default,small,5,getdbits,7660,3442,4218
71,71,512,GTK,default,GTK_default,small,5,getdbits,9497,3076,6421
72,72,512,GTK,default,GTK_default,small,5,getdbits,7737,3416,4321
73,73,512,GTK,default,GTK_default,small,5,getdbits,10164,3496,6668
74,74,512,GTK,default,GTK_default,small,5,getdbits,7995,3605,4390
75,75,512,GTK,default,GTK_default,small,5,getdbits,9386,2918,6468
76,76,512,GTK,default,GTK_default,small,5,getdbits,9624,3071,6553
77,77,512,GTK,default,GTK_default,small,5,getdbits,8780,2509,6271
78,78,512,GTK,default,GTK_default,small,5,getdbits,9210,2680,6530
79,79,512,GTK,default,GTK_default,small,5,getdbits,7852,3595,4257
80,80,512,GTK,default,GTK_default,small,5,getdbits,9337,2838,6499
81,81,512,GTK,default,GTK_default,small,5,getdbits,7899,3534,4365
82,82,512,GTK,default,GTK_default,small,5,getdbits,7518,3295,4223
83,83,512,GTK,default,GTK_default,small,5,getdbits,9433,3129,6304
84,84,512,GTK,default,GTK_default,small,5,getdbits,7947,3712,4235
85,85,512,GTK,default,GTK_default,small,5,getdbits,8870,2800,6070
86,86,512,GTK,default,GTK_default,small,5,getdbits,8716,4303,4413
87,87,512,GTK,default,GTK_default,small,5,getdbits,8390,4079,4311
88,88,512,GTK,default,GTK_default,small,5,getdbits,8859,2330,6529
89,89,512,GTK,default,GTK_default,small,5,getdbits,7947,3602,4345
90,90,512,GTK,default,GTK_default,small,5,getdbits,8620,4319,4301
91,91,512,GTK,default,GTK_default,small,5,getdbits,8108,4051,4057
92,92,512,GTK,default,GTK_default,small,5,getdbits,8391,4096,4295
93,93,512,GTK,default,GTK_default,small,5,getdbits,7803,3537,4266
94,94,512,GTK,default,GTK_default,small,5,getdbits,8154,3762,4392
95,95,512,GTK,default,GTK_default,small,5,getdbits,8810,2586,6224
96,96,512,GTK,default,GTK_default,small,5,getdbits,7037,2883,4154
97,97,512,GTK,default,GTK_default,small,5,getdbits,9359,2776,6583
98,98,512,GTK,default,GTK_default,small,5,getdbits,8324,4076,4248
99,99,512,GTK,default,GTK_default,small,5,getdbits,7756,3542,4214
100,100,512,GTK,default,GTK_default,small,5,getdbits,8043,3526,4517
101,101,512,GTK,default,GTK_default,small,5,getdbits,9953,3275,6678
102,102,512,GTK,default,GTK_default,small,5,getdbits,8017,3673,4344
103,103,512,GTK,default,GTK_default,small,5,getdbits,8638,2487,6151
104,104,512,GTK,default,GTK_default,small,5,getdbits,8012,3622,4390
105,105,512,GTK,default,GTK_default,small,5,getdbits,8235,3947,4288
106,106,512,GTK,default,GTK_default,small,5,getdbits,8812,2432,6380
107,107,512,GTK,default,GTK_default,small,5,getdbits,7900,3563,4337
108,108,512,GTK,default,GTK_default,small,5,getdbits,8524,4136,4388
109,109,512,GTK,default,GTK_default,small,5,getdbits,7661,3343,4318
110,110,512,GTK,default,GTK_default,small,5,getdbits,8139,3739,4400
111,111,512,GTK,default,GTK_default,small,5,getdbits,9626,3137,6489
112,112,512,GTK,default,GTK_default,small,5,getdbits,9289,2858,6431
113,113,512,GTK,default,GTK_default,small,5,getdbits,9138,2635,6503
114,114,512,GTK,default,GTK_default,small,5,getdbits,7852,3675,4177
115,115,512,GTK,default,GTK_default,small,5,getdbits,9595,3394,6201
116,116,512,GTK,default,GTK_default,small,5,getdbits,9502,3012,6490
117,117,512,GTK,default,GTK_default,small,5,getdbits,8873,2380,6493
118,118,512,GTK,default,GTK_default,small,5,getdbits,8762,2451,6311
