,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,515,GTK,default,GTK_default,no_fullscreen,,none,20588,-1,20589
1,1,515,GTK,default,GTK_default,no_fullscreen,,none,35620,-1,35621
2,2,515,GTK,default,GTK_default,no_fullscreen,,none,47634,-1,47635
3,3,515,GTK,default,GTK_default,no_fullscreen,,none,48402,-1,48403
4,4,515,GTK,default,GTK_default,no_fullscreen,,none,47109,-1,47110
5,5,515,GTK,default,GTK_default,no_fullscreen,,none,25476,-1,25477
6,6,515,GTK,default,GTK_default,no_fullscreen,,none,27074,-1,27075
7,7,515,GTK,default,GTK_default,no_fullscreen,,none,44548,-1,44549
8,8,515,GTK,default,GTK_default,no_fullscreen,,none,26588,-1,26589
9,9,515,GTK,default,GTK_default,no_fullscreen,,none,46579,-1,46580
10,10,515,GTK,default,GTK_default,no_fullscreen,,none,27273,-1,27274
11,11,515,GTK,default,GTK_default,no_fullscreen,,none,27392,-1,27393
12,12,515,GTK,default,GTK_default,no_fullscreen,,none,44950,-1,44951
13,13,515,GTK,default,GTK_default,no_fullscreen,,none,47602,-1,47603
14,14,515,GTK,default,GTK_default,no_fullscreen,,none,21023,-1,21024
15,15,515,GTK,default,GTK_default,no_fullscreen,,none,45923,-1,45924
16,16,515,GTK,default,GTK_default,no_fullscreen,,none,45947,-1,45948
17,17,515,GTK,default,GTK_default,no_fullscreen,,none,44903,-1,44904
18,18,515,GTK,default,GTK_default,no_fullscreen,,none,44166,-1,44167
19,19,515,GTK,default,GTK_default,no_fullscreen,,none,46801,-1,46802
20,20,515,GTK,default,GTK_default,no_fullscreen,,none,21765,-1,21766
21,21,515,GTK,default,GTK_default,no_fullscreen,,none,26852,-1,26853
22,22,515,GTK,default,GTK_default,no_fullscreen,,none,22481,-1,22482
23,23,515,GTK,default,GTK_default,no_fullscreen,,none,46196,-1,46197
24,24,515,GTK,default,GTK_default,no_fullscreen,,none,42492,-1,42493
25,25,515,GTK,default,GTK_default,no_fullscreen,,none,20775,-1,20776
26,26,515,GTK,default,GTK_default,no_fullscreen,,none,45137,-1,45138
27,27,515,GTK,default,GTK_default,no_fullscreen,,none,25528,-1,25529
28,28,515,GTK,default,GTK_default,no_fullscreen,,none,47119,-1,47120
29,29,515,GTK,default,GTK_default,no_fullscreen,,none,46912,-1,46913
30,30,515,GTK,default,GTK_default,no_fullscreen,,none,22723,-1,22724
31,31,515,GTK,default,GTK_default,no_fullscreen,,none,29000,-1,29001
32,32,515,GTK,default,GTK_default,no_fullscreen,,none,25433,-1,25434
33,33,515,GTK,default,GTK_default,no_fullscreen,,none,20584,-1,20585
34,34,515,GTK,default,GTK_default,no_fullscreen,,none,45136,-1,45137
35,35,515,GTK,default,GTK_default,no_fullscreen,,none,44613,-1,44614
36,36,515,GTK,default,GTK_default,no_fullscreen,,none,42426,-1,42427
37,37,515,GTK,default,GTK_default,no_fullscreen,,none,21117,-1,21118
38,38,515,GTK,default,GTK_default,no_fullscreen,,none,49457,-1,49458
39,39,515,GTK,default,GTK_default,no_fullscreen,,none,47102,-1,47103
40,40,515,GTK,default,GTK_default,no_fullscreen,,none,45440,-1,45441
41,41,515,GTK,default,GTK_default,no_fullscreen,,none,27250,-1,27251
