,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,7677,3359,4318
1,1,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,9212,2740,6472
2,2,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,7891,3711,4180
3,3,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,8379,4063,4316
4,4,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,7853,3543,4310
5,5,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,7935,3522,4413
6,6,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,9097,2517,6580
7,7,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,7852,3682,4170
8,8,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,7914,3632,4282
9,9,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,8812,2324,6488
10,10,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,8378,1966,6412
11,11,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,7779,3379,4400
12,12,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,8640,2199,6441
13,13,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,8092,3717,4375
14,14,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,7037,2957,4080
15,15,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,8671,2172,6499
16,16,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,7468,3305,4163
17,17,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,8858,2560,6298
18,18,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,8476,1862,6614
19,19,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,bitblt,8775,2224,6551
