,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7533,5314,2219
1,1,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8601,4902,3699
2,2,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7798,4254,3544
3,3,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,9926,6957,2969
4,4,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7628,4211,3417
5,5,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8380,4715,3665
6,6,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8332,4617,3715
7,7,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8474,4722,3752
8,8,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8524,4984,3540
9,9,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7674,3828,3846
10,10,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8620,5007,3613
11,11,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8332,4875,3457
12,12,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7793,3940,3853
13,13,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7867,4042,3825
14,14,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7085,3430,3655
15,15,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8490,4720,3770
16,16,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7947,4280,3667
17,17,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8379,4604,3775
18,18,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7364,3657,3707
19,19,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7773,3988,3785
20,20,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8139,4386,3753
21,21,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8917,5191,3726
22,22,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7245,3758,3487
23,23,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7757,3943,3814
24,24,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7372,3692,3680
25,25,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8284,4642,3642
26,26,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8522,4886,3636
27,27,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7677,3881,3796
28,28,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7469,3877,3592
29,29,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7228,3634,3594
30,30,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7198,3563,3635
31,31,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8715,4949,3766
32,32,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7804,4251,3553
33,33,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8426,4906,3520
34,34,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7901,4153,3748
35,35,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8283,4663,3620
36,36,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,9014,5078,3936
37,37,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8235,4648,3587
38,38,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7899,4236,3663
39,39,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7652,3958,3694
40,40,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7995,4239,3756
41,41,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8715,5060,3655
42,42,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8762,5028,3734
43,43,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,6954,3255,3699
44,44,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8619,5028,3591
45,45,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7470,3765,3705
46,46,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8413,4776,3637
47,47,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7661,3966,3695
48,48,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,9002,5389,3613
49,49,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,6954,3485,3469
50,50,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8462,4774,3688
51,51,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7948,4227,3721
52,52,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7292,3486,3806
53,53,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7914,4213,3701
54,54,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7469,3874,3595
55,55,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8907,5107,3800
56,56,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8030,4330,3700
57,57,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7276,3676,3600
58,58,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8762,5091,3671
59,59,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8714,5125,3589
60,60,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8715,5030,3685
61,61,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7882,4323,3559
62,62,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7420,3639,3781
63,63,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,6989,3294,3695
64,64,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,6894,3218,3676
65,65,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8092,4452,3640
66,66,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8995,5568,3427
67,67,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8763,5084,3679
68,68,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7410,3827,3583
69,69,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7996,4414,3582
70,70,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8083,4495,3588
71,71,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7673,3933,3740
72,72,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7651,4091,3560
73,73,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,6893,3156,3737
74,74,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8908,5333,3575
75,75,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8283,4681,3602
76,76,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7851,4171,3680
77,77,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8368,4778,3590
78,78,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8298,4654,3644
79,79,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8731,4968,3763
80,80,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8656,5004,3652
81,81,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8811,5289,3522
82,82,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8824,5008,3816
83,83,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,6989,3287,3702
84,84,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8632,4966,3666
85,85,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8092,4296,3796
86,86,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7660,3961,3699
87,87,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8091,4440,3651
88,88,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8678,5141,3537
89,89,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8491,4743,3748
90,90,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7198,3440,3758
91,91,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,6988,3295,3693
92,92,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7793,4159,3634
93,93,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7395,3694,3701
94,94,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7038,3243,3795
95,95,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7372,3646,3726
96,96,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,6894,3259,3635
97,97,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7420,3634,3786
98,98,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8045,4284,3761
99,99,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8925,5221,3704
100,100,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7181,3723,3458
101,101,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8907,5180,3727
102,102,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8714,5074,3640
103,103,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7995,4318,3677
104,104,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7278,3563,3715
105,105,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7948,4455,3493
106,106,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8283,4530,3753
107,107,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7123,3558,3565
108,108,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7964,4452,3512
109,109,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7672,3960,3712
110,110,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7325,3676,3649
111,111,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8801,5237,3564
112,112,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8475,4945,3530
113,113,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7725,4117,3608
114,114,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,6893,3283,3610
115,115,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8727,5138,3589
116,116,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8666,5065,3601
117,117,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8680,4957,3723
118,118,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8420,4677,3743
119,119,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7420,3819,3601
120,120,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8554,4886,3668
121,121,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7409,3701,3708
122,122,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7372,3632,3740
123,123,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8571,4814,3757
124,124,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7372,3759,3613
125,125,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7556,3849,3707
126,126,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8779,4986,3793
127,127,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,7708,4087,3621
128,128,515,JavaSwing,default,JavaSwing_default,no_fullscreen,2,windup_fullscreen,8715,4983,3732
