,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,516,Qt6,default,Qt6_default,no_fullscreen,,none,20039,-1,20040
1,1,516,Qt6,default,Qt6_default,no_fullscreen,,none,18771,-1,18772
2,2,516,Qt6,default,Qt6_default,no_fullscreen,,none,19014,-1,19015
3,3,516,Qt6,default,Qt6_default,no_fullscreen,,none,15282,-1,15283
4,4,516,Qt6,default,Qt6_default,no_fullscreen,,none,18780,-1,18781
5,5,516,Qt6,default,Qt6_default,no_fullscreen,,none,19873,-1,19874
6,6,516,Qt6,default,Qt6_default,no_fullscreen,,none,19279,-1,19280
7,7,516,Qt6,default,Qt6_default,no_fullscreen,,none,17905,-1,17906
8,8,516,Qt6,default,Qt6_default,no_fullscreen,,none,19118,-1,19119
9,9,516,Qt6,default,Qt6_default,no_fullscreen,,none,20184,-1,20185
10,10,516,Qt6,default,Qt6_default,no_fullscreen,,none,14372,-1,14373
11,11,516,Qt6,default,Qt6_default,no_fullscreen,,none,19416,-1,19417
12,12,516,Qt6,default,Qt6_default,no_fullscreen,,none,17209,-1,17210
13,13,516,Qt6,default,Qt6_default,no_fullscreen,,none,15078,-1,15079
14,14,516,Qt6,default,Qt6_default,no_fullscreen,,none,16577,-1,16578
15,15,516,Qt6,default,Qt6_default,no_fullscreen,,none,18439,-1,18440
16,16,516,Qt6,default,Qt6_default,no_fullscreen,,none,17859,-1,17860
17,17,516,Qt6,default,Qt6_default,no_fullscreen,,none,19753,-1,19754
18,18,516,Qt6,default,Qt6_default,no_fullscreen,,none,17212,-1,17213
19,19,516,Qt6,default,Qt6_default,no_fullscreen,,none,11247,-1,11248
20,20,516,Qt6,default,Qt6_default,no_fullscreen,,none,23604,-1,23605
21,21,516,Qt6,default,Qt6_default,no_fullscreen,,none,14659,-1,14660
22,22,516,Qt6,default,Qt6_default,no_fullscreen,,none,14387,-1,14388
23,23,516,Qt6,default,Qt6_default,no_fullscreen,,none,16814,-1,16815
24,24,516,Qt6,default,Qt6_default,no_fullscreen,,none,18459,-1,18460
25,25,516,Qt6,default,Qt6_default,no_fullscreen,,none,19733,-1,19734
26,26,516,Qt6,default,Qt6_default,no_fullscreen,,none,15823,-1,15824
27,27,516,Qt6,default,Qt6_default,no_fullscreen,,none,17452,-1,17453
28,28,516,Qt6,default,Qt6_default,no_fullscreen,,none,19679,-1,19680
29,29,516,Qt6,default,Qt6_default,no_fullscreen,,none,20756,-1,20757
30,30,516,Qt6,default,Qt6_default,no_fullscreen,,none,10583,-1,10584
31,31,516,Qt6,default,Qt6_default,no_fullscreen,,none,12108,-1,12109
32,32,516,Qt6,default,Qt6_default,no_fullscreen,,none,20621,-1,20622
33,33,516,Qt6,default,Qt6_default,no_fullscreen,,none,16658,-1,16659
34,34,516,Qt6,default,Qt6_default,no_fullscreen,,none,20043,-1,20044
35,35,516,Qt6,default,Qt6_default,no_fullscreen,,none,19564,-1,19565
36,36,516,Qt6,default,Qt6_default,no_fullscreen,,none,13955,-1,13956
37,37,516,Qt6,default,Qt6_default,no_fullscreen,,none,11841,-1,11842
38,38,516,Qt6,default,Qt6_default,no_fullscreen,,none,20257,-1,20258
39,39,516,Qt6,default,Qt6_default,no_fullscreen,,none,15389,-1,15390
40,40,516,Qt6,default,Qt6_default,no_fullscreen,,none,17902,-1,17903
41,41,516,Qt6,default,Qt6_default,no_fullscreen,,none,11101,-1,11102
42,42,516,Qt6,default,Qt6_default,no_fullscreen,,none,15627,-1,15628
43,43,516,Qt6,default,Qt6_default,no_fullscreen,,none,19732,-1,19733
44,44,516,Qt6,default,Qt6_default,no_fullscreen,,none,19829,-1,19830
45,45,516,Qt6,default,Qt6_default,no_fullscreen,,none,16540,-1,16541
46,46,516,Qt6,default,Qt6_default,no_fullscreen,,none,18778,-1,18779
47,47,516,Qt6,default,Qt6_default,no_fullscreen,,none,18223,-1,18224
48,48,516,Qt6,default,Qt6_default,no_fullscreen,,none,17640,-1,17641
49,49,516,Qt6,default,Qt6_default,no_fullscreen,,none,18431,-1,18432
50,50,516,Qt6,default,Qt6_default,no_fullscreen,,none,10502,-1,10503
51,51,516,Qt6,default,Qt6_default,no_fullscreen,,none,19737,-1,19738
52,52,516,Qt6,default,Qt6_default,no_fullscreen,,none,18060,-1,18061
53,53,516,Qt6,default,Qt6_default,no_fullscreen,,none,17135,-1,17136
54,54,516,Qt6,default,Qt6_default,no_fullscreen,,none,16867,-1,16868
55,55,516,Qt6,default,Qt6_default,no_fullscreen,,none,14034,-1,14035
56,56,516,Qt6,default,Qt6_default,no_fullscreen,,none,14484,-1,14485
57,57,516,Qt6,default,Qt6_default,no_fullscreen,,none,15604,-1,15605
