,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5726,-1,5727
1,1,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6941,-1,6942
2,2,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6414,-1,6415
3,3,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7612,-1,7613
4,4,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6718,-1,6719
5,5,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6127,-1,6128
6,6,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5276,-1,5277
7,7,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6749,-1,6750
8,8,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7420,-1,7421
9,9,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6143,-1,6144
10,10,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6654,-1,6655
11,11,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6431,-1,6432
12,12,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6989,-1,6990
13,13,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5755,-1,5756
14,14,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7460,-1,7461
15,15,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6510,-1,6511
16,16,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6750,-1,6751
17,17,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7180,-1,7181
18,18,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6716,-1,6717
19,19,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7612,-1,7613
20,20,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6701,-1,6702
21,21,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5743,-1,5744
22,22,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6559,-1,6560
23,23,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6366,-1,6367
24,24,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6653,-1,6654
25,25,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7804,-1,7805
26,26,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6528,-1,6529
27,27,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6414,-1,6415
28,28,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7661,-1,7662
29,29,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6526,-1,6527
30,30,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7085,-1,7086
31,31,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7182,-1,7183
32,32,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7192,-1,7193
33,33,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6761,-1,6762
34,34,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6175,-1,6176
35,35,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6174,-1,6175
36,36,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,8448,-1,8449
37,37,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6989,-1,6990
38,38,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5743,-1,5744
39,39,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7628,-1,7629
40,40,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5716,-1,5717
41,41,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6838,-1,6839
42,42,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6126,-1,6127
43,43,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7529,-1,7530
44,44,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6318,-1,6319
45,45,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6574,-1,6575
46,46,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7324,-1,7325
47,47,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,8283,-1,8284
48,48,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6078,-1,6079
49,49,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6654,-1,6655
50,50,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7084,-1,7085
51,51,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7019,-1,7020
52,52,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5376,-1,5377
53,53,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5935,-1,5936
54,54,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6126,-1,6127
55,55,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6988,-1,6989
56,56,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5120,-1,5121
57,57,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6846,-1,6847
58,58,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5983,-1,5984
59,59,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6558,-1,6559
60,60,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5935,-1,5936
61,61,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6959,-1,6960
62,62,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6502,-1,6503
63,63,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5503,-1,5504
64,64,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6627,-1,6628
65,65,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5917,-1,5918
66,66,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5857,-1,5858
67,67,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7769,-1,7770
68,68,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6047,-1,6048
69,69,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6701,-1,6702
70,70,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6846,-1,6847
71,71,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7228,-1,7229
72,72,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,8703,-1,8704
73,73,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5543,-1,5544
74,74,515,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7516,-1,7517
