,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,10954,3218,7736
1,1,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,8851,5016,3835
2,2,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,10010,3525,6485
3,3,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,10456,4088,6368
4,4,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,8925,3100,5825
5,5,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,9386,3053,6333
6,6,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,10190,3594,6596
7,7,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,11544,3804,7740
8,8,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,9290,3562,5728
9,9,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,10742,4243,6499
10,10,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,9926,3575,6351
11,11,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,10104,3576,6528
12,12,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,9638,3820,5818
13,13,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,9207,3327,5880
14,14,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,9735,3596,6139
15,15,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,10511,3883,6628
16,16,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,9386,3773,5613
17,17,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,10264,4052,6212
18,18,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,10824,4568,6256
19,19,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,10309,3699,6610
20,20,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,9003,3338,5665
21,21,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,8811,3173,5638
22,22,485,SDL2_Software,default,SDL2_Software_default,no_fullscreen,2,bitblt,9865,3396,6469
