,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,515,Unity,image,Unity_image,fullscreen,,none,4944,-1,4945
1,1,515,Unity,image,Unity_image,fullscreen,,none,5312,-1,5313
2,2,515,Unity,image,Unity_image,fullscreen,,none,5216,-1,5217
3,3,515,Unity,image,Unity_image,fullscreen,,none,5422,-1,5423
4,4,515,Unity,image,Unity_image,fullscreen,,none,3874,-1,3875
5,5,515,Unity,image,Unity_image,fullscreen,,none,4592,-1,4593
6,6,515,Unity,image,Unity_image,fullscreen,,none,4257,-1,4258
7,7,515,Unity,image,Unity_image,fullscreen,,none,4257,-1,4258
8,8,515,Unity,image,Unity_image,fullscreen,,none,4209,-1,4210
9,9,515,Unity,image,Unity_image,fullscreen,,none,4257,-1,4258
10,10,515,Unity,image,Unity_image,fullscreen,,none,4784,-1,4785
11,11,515,Unity,image,Unity_image,fullscreen,,none,4943,-1,4944
12,12,515,Unity,image,Unity_image,fullscreen,,none,5708,-1,5709
13,13,515,Unity,image,Unity_image,fullscreen,,none,4593,-1,4594
14,14,515,Unity,image,Unity_image,fullscreen,,none,4461,-1,4462
15,15,515,Unity,image,Unity_image,fullscreen,,none,4615,-1,4616
16,16,515,Unity,image,Unity_image,fullscreen,,none,3921,-1,3922
17,17,515,Unity,image,Unity_image,fullscreen,,none,5323,-1,5324
18,18,515,Unity,image,Unity_image,fullscreen,,none,5455,-1,5456
19,19,515,Unity,image,Unity_image,fullscreen,,none,5566,-1,5567
20,20,515,Unity,image,Unity_image,fullscreen,,none,5252,-1,5253
21,21,515,Unity,image,Unity_image,fullscreen,,none,5180,-1,5181
22,22,515,Unity,image,Unity_image,fullscreen,,none,5455,-1,5456
23,23,515,Unity,image,Unity_image,fullscreen,,none,4113,-1,4114
24,24,515,Unity,image,Unity_image,fullscreen,,none,4928,-1,4929
25,25,515,Unity,image,Unity_image,fullscreen,,none,5216,-1,5217
26,26,515,Unity,image,Unity_image,fullscreen,,none,4018,-1,4019
