,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6572,2917,3655
1,1,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7011,3039,3972
2,2,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6078,2049,4029
3,3,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7192,3128,4064
4,4,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,5993,2074,3919
5,5,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6653,2793,3860
6,6,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7948,1945,6003
7,7,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6990,3162,3828
8,8,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6911,2977,3934
9,9,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,5609,1588,4021
10,10,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6222,2290,3932
11,11,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,5742,2030,3712
12,12,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7250,3116,4134
13,13,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7084,2845,4239
14,14,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7803,1831,5972
15,15,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6604,2734,3870
16,16,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6165,2303,3862
17,17,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7725,1820,5905
18,18,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7106,2799,4307
19,19,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6864,2728,4136
20,20,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7096,3109,3987
21,21,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6125,2133,3992
22,22,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6753,2841,3912
23,23,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7708,1882,5826
24,24,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6763,2784,3979
25,25,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7037,2996,4041
26,26,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6509,2567,3942
27,27,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6030,1813,4217
28,28,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,5708,1712,3996
29,29,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,5956,2159,3797
30,30,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6269,2232,4037
31,31,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7277,3383,3894
32,32,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6318,2310,4008
33,33,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6653,2596,4057
34,34,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6472,2691,3781
35,35,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7095,3287,3808
36,36,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6653,2996,3657
37,37,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6426,2550,3876
38,38,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6546,2706,3840
39,39,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7324,3232,4092
40,40,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,7324,3250,4074
41,41,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6029,2104,3925
42,42,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6030,1924,4106
43,43,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6844,3054,3790
44,44,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6448,2874,3574
45,45,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6556,2626,3930
46,46,466,psychopy_pyglet,image,psychopy_pyglet_image,fullscreen,2,bitblt,6687,2682,4005
