,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,330985,324121,6864
1,1,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,323691,319394,4297
2,2,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,319371,315074,4297
3,3,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,357740,353399,4341
4,4,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,322905,318673,4232
5,5,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,327652,323472,4180
6,6,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,321114,314482,6632
7,7,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,327309,323075,4234
8,8,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,319601,312910,6691
9,9,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,321688,315101,6587
10,10,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,320176,314334,5842
11,11,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,329092,322961,6131
12,12,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,325749,320109,5640
13,13,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,325805,321454,4351
14,14,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,324709,318256,6453
15,15,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,322534,315904,6630
16,16,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,324276,319828,4448
17,17,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,324255,317597,6658
18,18,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,323322,316849,6473
19,19,458,psychopy_pyglet,rects,psychopy_pyglet_rects,fullscreen,2,bitblt,319693,315416,4277
