,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,516,pyqt5,default,pyqt5_default,small,5,getdbits,9545,3167,6378
1,1,516,pyqt5,default,pyqt5_default,small,5,getdbits,9401,3042,6359
2,2,516,pyqt5,default,pyqt5_default,small,5,getdbits,8300,3839,4461
3,3,516,pyqt5,default,pyqt5_default,small,5,getdbits,7709,3485,4224
4,4,516,pyqt5,default,pyqt5_default,small,5,getdbits,8919,2388,6531
5,5,516,pyqt5,default,pyqt5_default,small,5,getdbits,7995,3696,4299
6,6,516,pyqt5,default,pyqt5_default,small,5,getdbits,7180,2571,4609
7,7,516,pyqt5,default,pyqt5_default,small,5,getdbits,8894,2807,6087
8,8,516,pyqt5,default,pyqt5_default,small,5,getdbits,9194,2651,6543
9,9,516,pyqt5,default,pyqt5_default,small,5,getdbits,8057,3459,4598
10,10,516,pyqt5,default,pyqt5_default,small,5,getdbits,9242,2758,6484
11,11,516,pyqt5,default,pyqt5_default,small,5,getdbits,8178,3854,4324
12,12,516,pyqt5,default,pyqt5_default,small,5,getdbits,7676,3243,4433
13,13,516,pyqt5,default,pyqt5_default,small,5,getdbits,9529,2980,6549
14,14,516,pyqt5,default,pyqt5_default,small,5,getdbits,9110,2569,6541
15,15,516,pyqt5,default,pyqt5_default,small,5,getdbits,9721,3199,6522
16,16,516,pyqt5,default,pyqt5_default,small,5,getdbits,8347,1738,6609
17,17,516,pyqt5,default,pyqt5_default,small,5,getdbits,7698,3369,4329
18,18,516,pyqt5,default,pyqt5_default,small,5,getdbits,8682,2199,6483
19,19,516,pyqt5,default,pyqt5_default,small,5,getdbits,8093,3850,4243
20,20,516,pyqt5,default,pyqt5_default,small,5,getdbits,8055,3591,4464
21,21,516,pyqt5,default,pyqt5_default,small,5,getdbits,8810,2249,6561
22,22,516,pyqt5,default,pyqt5_default,small,5,getdbits,9434,2890,6544
23,23,516,pyqt5,default,pyqt5_default,small,5,getdbits,8251,1600,6651
24,24,516,pyqt5,default,pyqt5_default,small,5,getdbits,7133,2604,4529
25,25,516,pyqt5,default,pyqt5_default,small,5,getdbits,9386,2893,6493
26,26,516,pyqt5,default,pyqt5_default,small,5,getdbits,8906,2166,6740
27,27,516,pyqt5,default,pyqt5_default,small,5,getdbits,9689,3202,6487
28,28,516,pyqt5,default,pyqt5_default,small,5,getdbits,7325,2911,4414
29,29,516,pyqt5,default,pyqt5_default,small,5,getdbits,7796,5067,2729
30,30,516,pyqt5,default,pyqt5_default,small,5,getdbits,9194,2562,6632
31,31,516,pyqt5,default,pyqt5_default,small,5,getdbits,7995,3624,4371
32,32,516,pyqt5,default,pyqt5_default,small,5,getdbits,9830,3237,6593
33,33,516,pyqt5,default,pyqt5_default,small,5,getdbits,9469,2881,6588
34,34,516,pyqt5,default,pyqt5_default,small,5,getdbits,9258,2857,6401
35,35,516,pyqt5,default,pyqt5_default,small,5,getdbits,8571,2038,6533
36,36,516,pyqt5,default,pyqt5_default,small,5,getdbits,9305,2656,6649
37,37,516,pyqt5,default,pyqt5_default,small,5,getdbits,8283,1820,6463
38,38,516,pyqt5,default,pyqt5_default,small,5,getdbits,6606,2214,4392
39,39,516,pyqt5,default,pyqt5_default,small,5,getdbits,8325,3601,4724
40,40,516,pyqt5,default,pyqt5_default,small,5,getdbits,9258,2552,6706
41,41,516,pyqt5,default,pyqt5_default,small,5,getdbits,9195,2705,6490
42,42,516,pyqt5,default,pyqt5_default,small,5,getdbits,10056,5801,4255
43,43,516,pyqt5,default,pyqt5_default,small,5,getdbits,8226,1847,6379
44,44,516,pyqt5,default,pyqt5_default,small,5,getdbits,9493,3058,6435
45,45,516,pyqt5,default,pyqt5_default,small,5,getdbits,8426,1870,6556
46,46,516,pyqt5,default,pyqt5_default,small,5,getdbits,9657,3065,6592
