,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,516,pyqt5,default,pyqt5_default,small,5,getpixel,7885,3418,4467
1,1,516,pyqt5,default,pyqt5_default,small,5,getpixel,8714,2128,6586
2,2,516,pyqt5,default,pyqt5_default,small,5,getpixel,9061,2617,6444
3,3,516,pyqt5,default,pyqt5_default,small,5,getpixel,8085,3871,4214
4,4,516,pyqt5,default,pyqt5_default,small,5,getpixel,7538,3086,4452
5,5,516,pyqt5,default,pyqt5_default,small,5,getpixel,9736,3240,6496
6,6,516,pyqt5,default,pyqt5_default,small,5,getpixel,9359,2825,6534
7,7,516,pyqt5,default,pyqt5_default,small,5,getpixel,6989,2392,4597
8,8,516,pyqt5,default,pyqt5_default,small,5,getpixel,8619,2118,6501
9,9,516,pyqt5,default,pyqt5_default,small,5,getpixel,9259,2570,6689
10,10,516,pyqt5,default,pyqt5_default,small,5,getpixel,7889,3460,4429
11,11,516,pyqt5,default,pyqt5_default,small,5,getpixel,9486,2941,6545
12,12,516,pyqt5,default,pyqt5_default,small,5,getpixel,8955,2219,6736
13,13,516,pyqt5,default,pyqt5_default,small,5,getpixel,8780,2271,6509
14,14,516,pyqt5,default,pyqt5_default,small,5,getpixel,9568,2975,6593
15,15,516,pyqt5,default,pyqt5_default,small,5,getpixel,9449,3172,6277
16,16,516,pyqt5,default,pyqt5_default,small,5,getpixel,8586,2021,6565
17,17,516,pyqt5,default,pyqt5_default,small,5,getpixel,9567,4217,5350
18,18,516,pyqt5,default,pyqt5_default,small,5,getpixel,8139,3601,4538
19,19,516,pyqt5,default,pyqt5_default,small,5,getpixel,8283,3723,4560
20,20,516,pyqt5,default,pyqt5_default,small,5,getpixel,8975,2658,6317
21,21,516,pyqt5,default,pyqt5_default,small,5,getpixel,7805,3393,4412
22,22,516,pyqt5,default,pyqt5_default,small,5,getpixel,8716,2071,6645
23,23,516,pyqt5,default,pyqt5_default,small,5,getpixel,9062,2440,6622
24,24,516,pyqt5,default,pyqt5_default,small,5,getpixel,8043,3645,4398
25,25,516,pyqt5,default,pyqt5_default,small,5,getpixel,7228,2867,4361
26,26,516,pyqt5,default,pyqt5_default,small,5,getpixel,8011,3624,4387
27,27,516,pyqt5,default,pyqt5_default,small,5,getpixel,7936,3348,4588
28,28,516,pyqt5,default,pyqt5_default,small,5,getpixel,9109,2712,6397
29,29,516,pyqt5,default,pyqt5_default,small,5,getpixel,9003,2377,6626
30,30,516,pyqt5,default,pyqt5_default,small,5,getpixel,9675,2957,6718
31,31,516,pyqt5,default,pyqt5_default,small,5,getpixel,7612,3432,4180
32,32,516,pyqt5,default,pyqt5_default,small,5,getpixel,8714,2154,6560
33,33,516,pyqt5,default,pyqt5_default,small,5,getpixel,8522,2009,6513
34,34,516,pyqt5,default,pyqt5_default,small,5,getpixel,9243,2800,6443
35,35,516,pyqt5,default,pyqt5_default,small,5,getpixel,8443,3843,4600
36,36,516,pyqt5,default,pyqt5_default,small,5,getpixel,8188,3585,4603
37,37,516,pyqt5,default,pyqt5_default,small,5,getpixel,7911,3312,4599
38,38,516,pyqt5,default,pyqt5_default,small,5,getpixel,8151,3636,4515
39,39,516,pyqt5,default,pyqt5_default,small,5,getpixel,7948,4082,3866
40,40,516,pyqt5,default,pyqt5_default,small,5,getpixel,8667,2078,6589
41,41,516,pyqt5,default,pyqt5_default,small,5,getpixel,9110,2555,6555
