,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9271,4867,4404
1,1,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10089,5636,4453
2,2,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9241,4922,4319
3,3,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10047,5541,4506
4,4,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9721,5308,4413
5,5,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10647,4349,6298
6,6,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10764,4340,6424
7,7,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9981,5574,4407
8,8,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9337,3135,6202
9,9,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10432,4225,6207
10,10,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10988,4537,6451
11,11,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9434,5623,3811
12,12,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9614,7249,2365
13,13,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,11111,4774,6337
14,14,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9998,5465,4533
15,15,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10105,5607,4498
16,16,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10295,5646,4649
17,17,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10007,5494,4513
18,18,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9571,5110,4461
19,19,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,11304,4961,6343
20,20,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10536,4208,6328
21,21,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9399,4912,4487
22,22,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9195,4798,4397
23,23,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10735,4265,6470
24,24,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9674,5163,4511
25,25,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10984,4643,6341
26,26,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9961,5623,4338
27,27,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9577,5182,4395
28,28,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10248,5873,4375
29,29,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9880,5473,4407
30,30,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9758,5663,4095
31,31,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,11199,4769,6430
32,32,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,10295,5956,4339
33,33,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,9744,5414,4330
34,34,502,pyqt6,default,pyqt6_default,fullscreen,2,bitblt,11217,4376,6841
