,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11415,9145,2270
1,1,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11064,8712,2352
2,2,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10824,8458,2366
3,3,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11829,9637,2192
4,4,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,13833,10134,3699
5,5,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11127,8977,2150
6,6,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10882,8573,2309
7,7,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11975,9587,2388
8,8,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11781,9591,2190
9,9,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11783,9423,2360
10,10,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10119,7763,2356
11,11,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,12358,9951,2407
12,12,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10966,8495,2471
13,13,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10312,7928,2384
14,14,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,9737,7436,2301
15,15,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10247,7841,2406
16,16,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10790,8324,2466
17,17,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10645,8203,2442
18,18,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10776,8399,2377
19,19,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11639,9416,2223
20,20,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10979,8671,2308
21,21,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11110,8782,2328
22,22,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,12153,9892,2261
23,23,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,13747,10083,3664
24,24,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10840,8448,2392
25,25,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10791,8370,2421
26,26,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11242,9066,2176
27,27,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11158,8789,2369
28,28,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11305,9125,2180
29,29,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11266,8999,2267
30,30,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,12274,10032,2242
31,31,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10906,8664,2242
32,32,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11397,9107,2290
33,33,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10104,7943,2161
34,34,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10567,8170,2397
35,35,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10056,7661,2395
36,36,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11845,9602,2243
37,37,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11448,9146,2302
38,38,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10631,8282,2349
39,39,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10337,7953,2384
40,40,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,12179,9803,2376
41,41,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10835,8464,2371
42,42,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11817,9545,2272
43,43,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11104,8827,2277
44,44,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10441,8071,2370
45,45,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,12308,9294,3014
46,46,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11990,9811,2179
47,47,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,13413,9671,3742
48,48,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11161,9071,2090
49,49,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11173,8753,2420
50,50,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,10855,8614,2241
51,51,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,14094,11147,2947
52,52,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,12012,9822,2190
53,53,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,12058,9700,2358
54,54,515,pyqt6,default,pyqt6_default,no_fullscreen,2,windup_fullscreen,11543,9267,2276
