,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,515,win32,default,win32_default,small,5,getdbits,7376,2890,4486
1,1,515,win32,default,win32_default,small,5,getdbits,7085,2864,4221
2,2,515,win32,default,win32_default,small,5,getdbits,7413,3018,4395
3,3,515,win32,default,win32_default,small,5,getdbits,5934,1970,3964
4,4,515,win32,default,win32_default,small,5,getdbits,6748,2068,4680
5,5,515,win32,default,win32_default,small,5,getdbits,5743,1383,4360
6,6,515,win32,default,win32_default,small,5,getdbits,6414,2369,4045
7,7,515,win32,default,win32_default,small,5,getdbits,7245,2794,4451
8,8,515,win32,default,win32_default,small,5,getdbits,6179,1778,4401
9,9,515,win32,default,win32_default,small,5,getdbits,7339,3042,4297
10,10,515,win32,default,win32_default,small,5,getdbits,7387,3062,4325
11,11,515,win32,default,win32_default,small,5,getdbits,7181,2607,4574
12,12,515,win32,default,win32_default,small,5,getdbits,7050,2758,4292
13,13,515,win32,default,win32_default,small,5,getdbits,6607,2628,3979
14,14,515,win32,default,win32_default,small,5,getdbits,5983,1918,4065
15,15,515,win32,default,win32_default,small,5,getdbits,6414,1877,4537
16,16,515,win32,default,win32_default,small,5,getdbits,6717,2460,4257
17,17,515,win32,default,win32_default,small,5,getdbits,6749,2396,4353
18,18,515,win32,default,win32_default,small,5,getdbits,6118,1721,4397
19,19,515,win32,default,win32_default,small,5,getdbits,6941,2453,4488
20,20,515,win32,default,win32_default,small,5,getdbits,6079,1786,4293
21,21,515,win32,default,win32_default,small,5,getdbits,7805,3167,4638
22,22,515,win32,default,win32_default,small,5,getdbits,7436,3227,4209
23,23,515,win32,default,win32_default,small,5,getdbits,6654,2654,4000
24,24,515,win32,default,win32_default,small,5,getdbits,7421,3251,4170
25,25,515,win32,default,win32_default,small,5,getdbits,7420,3340,4080
26,26,515,win32,default,win32_default,small,5,getdbits,7195,2740,4455
27,27,515,win32,default,win32_default,small,5,getdbits,6653,2127,4526
28,28,515,win32,default,win32_default,small,5,getdbits,6558,2205,4353
29,29,515,win32,default,win32_default,small,5,getdbits,6654,2569,4085
30,30,515,win32,default,win32_default,small,5,getdbits,6769,2510,4259
31,31,515,win32,default,win32_default,small,5,getdbits,5660,1252,4408
32,32,515,win32,default,win32_default,small,5,getdbits,6798,2656,4142
33,33,515,win32,default,win32_default,small,5,getdbits,6558,2087,4471
34,34,515,win32,default,win32_default,small,5,getdbits,6572,2550,4022
35,35,515,win32,default,win32_default,small,5,getdbits,6654,2139,4515
36,36,515,win32,default,win32_default,small,5,getdbits,5551,1789,3762
37,37,515,win32,default,win32_default,small,5,getdbits,7229,2753,4476
38,38,515,win32,default,win32_default,small,5,getdbits,7564,3222,4342
39,39,515,win32,default,win32_default,small,5,getdbits,6127,1578,4549
40,40,515,win32,default,win32_default,small,5,getdbits,6461,2153,4308
41,41,515,win32,default,win32_default,small,5,getdbits,5983,1633,4350
42,42,515,win32,default,win32_default,small,5,getdbits,5375,2976,2399
43,43,515,win32,default,win32_default,small,5,getdbits,7517,3038,4479
44,44,515,win32,default,win32_default,small,5,getdbits,7229,2783,4446
45,45,515,win32,default,win32_default,small,5,getdbits,7180,2710,4470
46,46,515,win32,default,win32_default,small,5,getdbits,6260,1935,4325
47,47,515,win32,default,win32_default,small,5,getdbits,6461,2573,3888
48,48,515,win32,default,win32_default,small,5,getdbits,6078,1715,4363
49,49,515,win32,default,win32_default,small,5,getdbits,5838,1730,4108
50,50,515,win32,default,win32_default,small,5,getdbits,6461,1964,4497
51,51,515,win32,default,win32_default,small,5,getdbits,6425,2076,4349
52,52,515,win32,default,win32_default,small,5,getdbits,6701,2699,4002
53,53,515,win32,default,win32_default,small,5,getdbits,5935,1918,4017
54,54,515,win32,default,win32_default,small,5,getdbits,7372,3113,4259
55,55,515,win32,default,win32_default,small,5,getdbits,6413,1886,4527
56,56,515,win32,default,win32_default,small,5,getdbits,6079,2077,4002
57,57,515,win32,default,win32_default,small,5,getdbits,7921,3448,4473
58,58,515,win32,default,win32_default,small,5,getdbits,8332,1939,6393
59,59,515,win32,default,win32_default,small,5,getdbits,7002,2477,4525
60,60,515,win32,default,win32_default,small,5,getdbits,7565,1340,6225
61,61,515,win32,default,win32_default,small,5,getdbits,6278,2144,4134
62,62,515,win32,default,win32_default,small,5,getdbits,5839,1648,4191
63,63,515,win32,default,win32_default,small,5,getdbits,5743,1412,4331
64,64,515,win32,default,win32_default,small,5,getdbits,6453,2025,4428
65,65,515,win32,default,win32_default,small,5,getdbits,7084,2653,4431
66,66,515,win32,default,win32_default,small,5,getdbits,6366,1914,4452
67,67,515,win32,default,win32_default,small,5,getdbits,7468,3076,4392
68,68,515,win32,default,win32_default,small,5,getdbits,7354,2982,4372
69,69,515,win32,default,win32_default,small,5,getdbits,5743,1965,3778
70,70,515,win32,default,win32_default,small,5,getdbits,6244,1767,4477
71,71,515,win32,default,win32_default,small,5,getdbits,6498,2080,4418
72,72,515,win32,default,win32_default,small,5,getdbits,6306,2031,4275
73,73,515,win32,default,win32_default,small,5,getdbits,6942,2443,4499
74,74,515,win32,default,win32_default,small,5,getdbits,6030,1752,4278
75,75,515,win32,default,win32_default,small,5,getdbits,6100,2235,3865
76,76,515,win32,default,win32_default,small,5,getdbits,7053,2655,4398
77,77,515,win32,default,win32_default,small,5,getdbits,5935,1721,4214
78,78,515,win32,default,win32_default,small,5,getdbits,7107,2521,4586
79,79,515,win32,default,win32_default,small,5,getdbits,6174,1767,4407
80,80,515,win32,default,win32_default,small,5,getdbits,6765,2258,4507
81,81,515,win32,default,win32_default,small,5,getdbits,5934,1903,4031
82,82,515,win32,default,win32_default,small,5,getdbits,6030,1834,4196
83,83,515,win32,default,win32_default,small,5,getdbits,7104,2804,4300
84,84,515,win32,default,win32_default,small,5,getdbits,7421,3217,4204
85,85,515,win32,default,win32_default,small,5,getdbits,6912,2480,4432
86,86,515,win32,default,win32_default,small,5,getdbits,5711,1314,4397
87,87,515,win32,default,win32_default,small,5,getdbits,6078,2201,3877
88,88,515,win32,default,win32_default,small,5,getdbits,7182,2803,4379
89,89,515,win32,default,win32_default,small,5,getdbits,7325,2881,4444
