,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8215,5225,2990
1,1,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7818,4683,3135
2,2,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7340,5867,1473
3,3,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8138,5263,2875
4,4,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8281,4362,3919
5,5,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7036,3751,3285
6,6,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7294,5754,1540
7,7,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8447,4808,3639
8,8,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7851,4668,3183
9,9,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7514,4175,3339
10,10,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8390,5292,3098
11,11,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7962,4572,3390
12,12,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8543,5561,2982
13,13,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8636,5631,3005
14,14,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7946,4701,3245
15,15,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8284,5358,2926
16,16,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7532,4709,2823
17,17,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7899,4375,3524
18,18,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7467,4182,3285
19,19,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8715,5828,2887
20,20,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7803,5564,2239
21,21,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8474,5956,2518
22,22,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7408,4002,3406
23,23,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8810,5839,2971
24,24,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7488,4787,2701
25,25,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8811,5736,3075
26,26,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7707,4496,3211
27,27,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8138,6917,1221
28,28,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8378,5509,2869
29,29,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8091,4694,3397
30,30,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7275,5989,1286
31,31,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8006,5076,2930
32,32,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8857,5837,3020
33,33,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8428,5513,2915
34,34,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8091,5188,2903
35,35,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7537,4252,3285
36,36,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7964,5627,2337
37,37,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8332,5279,3053
38,38,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,7959,4563,3396
39,39,515,wxpython,image,wxpython_image,fullscreen,2,getpixel,8104,5143,2961
