,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7053,5473,1580
1,1,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6941,2997,3944
2,2,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7388,3742,3646
3,3,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6174,2651,3523
4,4,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5935,2319,3616
5,5,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6292,2709,3583
6,6,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7003,3194,3809
7,7,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6654,2970,3684
8,8,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7133,3447,3686
9,9,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5551,1929,3622
10,10,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7037,3082,3955
11,11,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5886,2219,3667
12,12,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7144,3426,3718
13,13,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7433,3759,3674
14,14,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6749,3059,3690
15,15,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6510,2828,3682
16,16,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6095,2495,3600
17,17,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5791,2121,3670
18,18,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5901,2244,3657
19,19,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5935,2235,3700
20,20,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7299,3521,3778
21,21,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5695,2012,3683
22,22,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6798,3216,3582
23,23,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7085,3390,3695
24,24,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7149,3484,3665
25,25,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5407,1636,3771
26,26,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5522,2014,3508
27,27,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5935,2302,3633
28,28,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6988,3497,3491
29,29,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6142,2450,3692
30,30,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6764,3054,3710
31,31,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5839,2401,3438
32,32,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5503,2003,3500
33,33,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6812,3108,3704
34,34,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5455,1824,3631
35,35,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6078,2388,3690
36,36,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6286,2677,3609
37,37,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5600,2059,3541
38,38,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6606,3008,3598
39,39,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6319,2736,3583
40,40,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6989,3231,3758
41,41,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5455,1924,3531
42,42,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6941,3312,3629
43,43,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7278,3480,3798
44,44,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5983,2481,3502
45,45,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6207,2676,3531
46,46,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5850,2082,3768
47,47,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6366,2745,3621
48,48,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6894,3295,3599
49,49,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5792,2230,3562
50,50,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5935,2436,3499
51,51,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6317,2740,3577
52,52,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6797,3089,3708
53,53,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5407,1998,3409
54,54,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6798,3144,3654
55,55,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6336,2830,3506
56,56,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5591,1996,3595
57,57,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7036,3432,3604
58,58,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6605,3004,3601
59,59,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5471,1743,3728
60,60,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5977,2315,3662
61,61,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6858,3249,3609
62,62,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5323,1596,3727
63,63,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5790,2085,3705
64,64,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6797,3136,3661
65,65,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7277,3564,3713
66,66,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5743,2122,3621
67,67,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6317,2577,3740
68,68,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5947,2366,3581
69,69,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6942,3163,3779
70,70,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5982,2347,3635
71,71,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5647,1926,3721
72,72,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5886,2293,3593
73,73,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7134,3507,3627
74,74,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6701,2896,3805
75,75,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6270,2700,3570
76,76,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6893,3338,3555
77,77,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5898,2348,3550
78,78,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7335,3617,3718
79,79,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6738,3218,3520
80,80,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5469,1854,3615
81,81,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5264,1843,3421
82,82,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7037,3437,3600
83,83,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6606,3131,3475
84,84,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7086,3304,3782
85,85,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6525,2902,3623
86,86,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7074,3450,3624
87,87,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7411,3758,3653
88,88,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7486,3767,3719
89,89,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,7181,3403,3778
90,90,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5744,2030,3714
91,91,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6413,2905,3508
92,92,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,6046,2379,3667
93,93,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5742,2031,3711
94,94,515,GLEW_SDL,default,GLEW_SDL_default,small,5,windup_fullscreen,5790,2187,3603
