,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66170,2181,63989
1,1,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65200,2169,63031
2,2,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66303,2190,64113
3,3,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65440,1024,64416
4,4,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65959,2187,63772
5,5,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65196,2188,63008
6,6,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66245,2254,63991
7,7,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67526,2115,65411
8,8,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65562,2171,63391
9,9,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68755,2212,66543
10,10,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65611,1238,64373
11,11,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67159,1994,65165
12,12,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66391,2163,64228
13,13,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66013,1558,64455
14,14,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66961,2096,64865
15,15,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67364,2210,65154
16,16,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66065,1602,64463
17,17,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68900,2163,66737
18,18,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65986,2138,63848
19,19,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68694,2219,66475
20,20,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65101,2239,62862
21,21,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66461,1946,64515
22,22,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65848,2101,63747
23,23,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65070,2120,62950
24,24,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65476,2241,63235
25,25,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65671,1393,64278
26,26,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65187,2079,63108
27,27,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65704,2120,63584
28,28,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67817,2197,65620
29,29,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65538,2197,63341
30,30,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67005,2548,64457
31,31,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65943,2061,63882
32,32,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67932,2172,65760
33,33,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,64789,2287,62502
34,34,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68549,2721,65828
35,35,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66425,2189,64236
36,36,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69505,2142,67363
37,37,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65939,2170,63769
38,38,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66424,2028,64396
39,39,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66071,2122,63949
40,40,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65485,2144,63341
41,41,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65418,2126,63292
42,42,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66156,1751,64405
43,43,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66122,2149,63973
44,44,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65707,1238,64469
45,45,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66820,2250,64570
46,46,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66382,1961,64421
47,47,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66700,2145,64555
48,48,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66643,2105,64538
49,49,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69181,1971,67210
50,50,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65353,2181,63172
51,51,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68292,1888,66404
52,52,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66140,2187,63953
53,53,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67829,2119,65710
54,54,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66544,2224,64320
55,55,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67265,2663,64602
56,56,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,64606,1997,62609
57,57,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68860,2190,66670
58,58,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67365,1994,65371
59,59,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67669,2178,65491
60,60,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66181,1523,64658
61,61,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66343,2083,64260
62,62,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66564,2134,64430
63,63,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65653,1144,64509
64,64,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69058,2092,66966
65,65,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65552,2072,63480
66,66,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66914,2186,64728
67,67,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65183,2617,62566
68,68,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66637,2121,64516
69,69,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65397,2047,63350
70,70,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67404,941,66463
71,71,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66982,1976,65006
72,72,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,70163,2217,67946
73,73,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65863,2178,63685
74,74,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67396,1063,66333
75,75,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69891,2159,67732
76,76,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68633,2303,66330
77,77,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67981,1459,66522
78,78,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66822,2111,64711
79,79,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67040,2070,64970
80,80,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65907,2166,63741
81,81,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66322,1872,64450
82,82,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67396,2078,65318
83,83,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65809,2173,63636
84,84,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65586,2183,63403
85,85,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66538,2193,64345
86,86,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65665,1152,64513
87,87,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67615,2083,65532
88,88,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66626,2210,64416
89,89,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65350,2229,63121
90,90,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66536,2090,64446
91,91,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65572,2135,63437
92,92,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69973,2178,67795
93,93,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67042,2150,64892
94,94,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67825,1376,66449
95,95,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69129,2045,67084
96,96,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69445,2095,67350
97,97,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67042,2142,64900
98,98,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,70499,1825,68674
99,99,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68908,2087,66821
100,100,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67773,2195,65578
101,101,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68845,2137,66708
102,102,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65829,1455,64374
103,103,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67202,2111,65091
104,104,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,64760,2235,62525
105,105,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68164,2161,66003
106,106,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68726,2243,66483
107,107,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66136,2230,63906
108,108,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,64516,2074,62442
109,109,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66410,2109,64301
110,110,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65753,2278,63475
111,111,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67653,1106,66547
112,112,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67852,2200,65652
113,113,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67554,1153,66401
114,114,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,64726,2121,62605
115,115,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69960,2151,67809
116,116,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69293,1942,67351
117,117,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67973,2269,65704
118,118,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68586,2054,66532
119,119,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67958,1431,66527
120,120,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65317,2105,63212
121,121,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67325,2051,65274
122,122,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66362,1855,64507
123,123,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67599,1263,66336
124,124,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66773,2138,64635
125,125,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66210,1736,64474
126,126,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66400,1794,64606
127,127,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68774,2104,66670
128,128,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65133,2119,63014
129,129,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66408,2199,64209
130,130,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69287,2778,66509
131,131,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68858,2130,66728
132,132,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68441,2099,66342
133,133,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66656,2167,64489
134,134,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68945,2471,66474
135,135,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67473,2124,65349
136,136,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68238,1712,66526
137,137,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68650,2267,66383
138,138,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69473,986,68487
139,139,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67259,961,66298
140,140,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66910,2441,64469
141,141,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65187,2048,63139
142,142,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66241,1703,64538
143,143,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67986,2214,65772
144,144,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67063,2048,65015
145,145,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68304,2162,66142
146,146,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66495,2024,64471
147,147,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68779,2080,66699
148,148,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67991,2144,65847
149,149,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,64539,2148,62391
150,150,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68722,2034,66688
151,151,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67807,2223,65584
152,152,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65835,1410,64425
153,153,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67012,2294,64718
154,154,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66292,1848,64444
155,155,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,70866,2120,68746
156,156,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66678,2179,64499
157,157,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,70498,2105,68393
158,158,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68247,2212,66035
159,159,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,70988,2162,68826
160,160,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68754,2111,66643
161,161,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,69746,1390,68356
162,162,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68612,2090,66522
163,163,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68017,2259,65758
164,164,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66196,1766,64430
165,165,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68687,2173,66514
166,166,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67832,2170,65662
167,167,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66270,1740,64530
168,168,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67546,2077,65469
169,169,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66022,1464,64558
170,170,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67725,2140,65585
171,171,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68543,2196,66347
172,172,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68150,1664,66486
173,173,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,70813,2151,68662
174,174,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,70871,2089,68782
175,175,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66573,2098,64475
176,176,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,70757,2183,68574
177,177,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67268,2845,64423
178,178,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,70371,2147,68224
179,179,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,66150,2138,64012
180,180,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68299,1749,66550
181,181,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67247,2082,65165
182,182,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67788,2122,65666
183,183,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,65688,1289,64399
184,184,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68109,2139,65970
185,185,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68996,2157,66839
186,186,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67742,1105,66637
187,187,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67370,2043,65327
188,188,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67627,2232,65395
189,189,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,64801,2269,62532
190,190,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68018,2058,65960
191,191,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68510,2152,66358
192,192,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68811,2211,66600
193,193,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67034,2455,64579
194,194,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,68933,2093,66840
195,195,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,70292,2059,68233
196,196,508,Godot,3D,Godot_3D,fullscreen,3,getdbits,67193,2027,65166
