,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5541,2491,3050
1,1,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5276,2454,2822
2,2,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,4608,2228,2380
3,3,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5839,2288,3551
4,4,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5855,2302,3553
5,5,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5791,1660,4131
6,6,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5407,2184,3223
7,7,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6820,2268,4552
8,8,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6236,2071,4165
9,9,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5071,2862,2209
10,10,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,7084,2279,4805
11,11,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6575,2038,4537
12,12,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6701,2381,4320
13,13,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5599,2190,3409
14,14,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5360,3126,2234
15,15,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,7036,2176,4860
16,16,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6701,2316,4385
17,17,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5696,2334,3362
18,18,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,4989,2822,2167
19,19,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6415,2368,4047
20,20,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,4998,2641,2357
21,21,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5160,2179,2981
22,22,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5646,2527,3119
23,23,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6142,1800,4342
24,24,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5264,2213,3051
25,25,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5216,2951,2265
26,26,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5503,2300,3203
27,27,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5311,2218,3093
28,28,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,4414,2131,2283
29,29,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5934,2265,3669
30,30,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5359,2516,2843
31,31,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5311,3061,2250
32,32,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6079,2057,4022
33,33,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5573,2128,3445
34,34,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6270,1913,4357
35,35,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,7180,2436,4744
36,36,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5168,2215,2953
37,37,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,4057,1916,2141
38,38,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5616,1658,3958
39,39,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5168,2109,3059
40,40,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6318,2173,4145
41,41,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5119,2011,3108
42,42,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6622,2383,4239
43,43,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6222,2247,3975
44,44,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,4928,2646,2282
45,45,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5071,2068,3003
46,46,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,7053,2424,4629
47,47,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6796,2370,4426
48,48,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5229,2931,2298
49,49,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5086,2370,2716
50,50,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5215,2948,2267
51,51,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6030,2255,3775
52,52,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6920,2393,4527
53,53,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5503,2308,3195
54,54,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5407,3048,2359
55,55,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6558,2207,4351
56,56,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6989,2176,4813
57,57,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5743,1276,4467
58,58,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6126,1724,4402
59,59,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6259,2352,3907
60,60,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5072,2741,2331
61,61,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6572,2238,4334
62,62,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5327,2350,2977
63,63,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,4592,2313,2279
64,64,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,4688,2476,2212
65,65,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6166,2099,4067
66,66,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,4640,2353,2287
67,67,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6270,2159,4111
68,68,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5311,2291,3020
69,69,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5887,2377,3510
70,70,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5519,3176,2343
71,71,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6148,2304,3844
72,72,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5328,3042,2286
73,73,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5744,2474,3270
74,74,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5120,2839,2281
75,75,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5567,1645,3922
76,76,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5647,2315,3332
77,77,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6767,2222,4545
78,78,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5455,1300,4155
79,79,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,5694,2469,3225
80,80,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,7757,1930,5827
81,81,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,4832,2480,2352
82,82,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6989,2411,4578
83,83,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6222,1840,4382
84,84,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,4448,2180,2268
85,85,498,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,fullscreen,3,getpixel,6510,2494,4016
