,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5279,2451,2828
1,1,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5855,1599,4256
2,2,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6234,2119,4115
3,3,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5790,2259,3531
4,4,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,4065,1825,2240
5,5,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5982,2400,3582
6,6,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6174,2268,3906
7,7,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6126,2318,3808
8,8,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5407,2351,3056
9,9,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5072,2824,2248
10,10,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5982,2356,3626
11,11,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6575,2162,4413
12,12,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5934,2405,3529
13,13,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,4509,2303,2206
14,14,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6762,2215,4547
15,15,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,7229,2124,5105
16,16,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5694,1615,4079
17,17,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6043,1797,4246
18,18,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6127,2483,3644
19,19,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,4545,2358,2187
20,20,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6031,2323,3708
21,21,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6190,1988,4202
22,22,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5806,2306,3500
23,23,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5064,2825,2239
24,24,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6335,2423,3912
25,25,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5983,1634,4349
26,26,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6941,2500,4441
27,27,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5207,2247,2960
28,28,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,4497,2108,2389
29,29,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,7373,2017,5356
30,30,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5072,2356,2716
31,31,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,4688,2444,2244
32,32,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,5756,2317,3439
33,33,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6383,2335,4048
34,34,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6749,2212,4537
35,35,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6415,2383,4032
36,36,496,SDL2_OpenGL,default,SDL2_OpenGL_default,fullscreen,3,getpixel,6078,2553,3525
