,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14455,9860,4595
1,1,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17165,12726,4439
2,2,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14676,10160,4516
3,3,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15970,11683,4287
4,4,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,20909,17100,3809
5,5,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15391,10931,4460
6,6,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17305,12908,4397
7,7,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17008,12603,4405
8,8,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14768,12263,2505
9,9,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15810,11471,4339
10,10,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14889,11536,3353
11,11,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17307,12930,4377
12,12,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14706,8890,5816
13,13,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17211,12706,4505
14,14,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15658,11213,4445
15,15,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,19271,14856,4415
16,16,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,18867,13834,5033
17,17,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14516,10248,4268
18,18,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15798,11397,4401
19,19,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15152,10403,4749
20,20,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,12742,8280,4462
21,21,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17190,12877,4313
22,22,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16235,11874,4361
23,23,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15591,11251,4340
24,24,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15299,10891,4408
25,25,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17087,12623,4464
26,26,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15556,11174,4382
27,27,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16663,11163,5500
28,28,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15962,11521,4441
29,29,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17214,12706,4508
30,30,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14199,9721,4478
31,31,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17040,12654,4386
32,32,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16900,12379,4521
33,33,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16041,9346,6695
34,34,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15440,10999,4441
35,35,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15950,9314,6636
36,36,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14516,10096,4420
37,37,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16803,12377,4426
38,38,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14268,9871,4397
39,39,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16000,11686,4314
40,40,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16705,12274,4431
41,41,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16254,11880,4374
42,42,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15847,10873,4974
43,43,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17256,12942,4314
44,44,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15610,11337,4273
45,45,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14275,9865,4410
46,46,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16865,12299,4566
47,47,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14580,10103,4477
48,48,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15474,11033,4441
49,49,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16185,11791,4394
50,50,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16909,12505,4404
51,51,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14373,10026,4347
52,52,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17200,13010,4190
53,53,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17136,11652,5484
54,54,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15679,11327,4352
55,55,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16769,12703,4066
56,56,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15634,11193,4441
57,57,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16852,12363,4489
58,58,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15667,11294,4373
59,59,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,15486,11038,4448
60,60,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17283,12927,4356
61,61,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16853,12246,4607
62,62,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,16178,11913,4265
63,63,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14771,10396,4375
64,64,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,17149,12792,4357
65,65,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14289,10504,3785
66,66,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14430,11728,2702
67,67,516,psychopy_pyglet,default,psychopy_pyglet_default,small,5,getpixel,14600,10136,4464
