,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,15981,-1,15982
1,1,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,16854,-1,16855
2,2,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,14103,-1,14104
3,3,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,20865,-1,20866
4,4,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,10488,-1,10489
5,5,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,22868,-1,22869
6,6,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,17348,-1,17349
7,7,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,15426,-1,15427
8,8,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,8427,-1,8428
9,9,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,17212,-1,17213
10,10,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,22101,-1,22102
11,11,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,14575,-1,14576
12,12,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,7364,-1,7365
13,13,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,12072,-1,12073
14,14,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,17258,-1,17259
15,15,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,15869,-1,15870
16,16,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,6701,-1,6702
17,17,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,6452,-1,6453
18,18,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,8474,-1,8475
19,19,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,17052,-1,17053
20,20,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,19943,-1,19944
21,21,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,15919,-1,15920
22,22,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,18722,-1,18723
23,23,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,14638,-1,14639
24,24,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,8907,-1,8908
25,25,487,pyglet,default,pyglet_default,fullscreen,3,bitblt,20427,-1,20428
