,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,20516,-1,20517
1,1,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,15360,-1,15361
2,2,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,14004,-1,14005
3,3,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,21968,-1,21969
4,4,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,18604,-1,18605
5,5,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,16464,-1,16465
6,6,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19600,-1,19601
7,7,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19832,-1,19833
8,8,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,16028,-1,16029
9,9,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,18480,-1,18481
10,10,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,20836,-1,20837
11,11,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19264,-1,19265
12,12,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,18820,-1,18821
13,13,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,15576,-1,15577
14,14,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,20056,-1,20057
15,15,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,20740,-1,20741
16,16,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19724,-1,19725
17,17,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19260,-1,19261
18,18,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19488,-1,19489
19,19,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19720,-1,19721
20,20,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,15468,-1,15469
21,21,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,15244,-1,15245
22,22,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19728,-1,19729
23,23,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,20280,-1,20281
24,24,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19604,-1,19605
25,25,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,18828,-1,18829
26,26,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,15692,-1,15693
27,27,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,20828,-1,20829
28,28,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,18820,-1,18821
29,29,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19600,-1,19601
30,30,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,18596,-1,18597
31,31,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19040,-1,19041
32,32,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19156,-1,19157
33,33,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,18148,-1,18149
34,34,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,18276,-1,18277
35,35,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,18268,-1,18269
36,36,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19940,-1,19941
37,37,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,15012,-1,15013
38,38,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,12996,-1,12997
39,39,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,20172,-1,20173
40,40,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,20284,-1,20285
41,41,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19056,-1,19057
42,42,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19724,-1,19725
43,43,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,16468,-1,16469
44,44,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,18592,-1,18593
45,45,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19160,-1,19161
46,46,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,20180,-1,20181
47,47,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19940,-1,19941
48,48,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19148,-1,19149
49,49,JavaSwing,rects,JavaSwing_rects,getpixel,False,getpixel_False,19504,-1,19505
