,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,16920,-1,16921
1,1,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,18600,-1,18601
2,2,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17028,-1,17029
3,3,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17144,-1,17145
4,4,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17696,-1,17697
5,5,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,21616,-1,21617
6,6,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,18144,-1,18145
7,7,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,18932,-1,18933
8,8,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,18496,-1,18497
9,9,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,20620,-1,20621
10,10,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,21180,-1,21181
11,11,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,20288,-1,20289
12,12,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17588,-1,17589
13,13,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,22308,-1,22309
14,14,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,15020,-1,15021
15,15,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,16804,-1,16805
16,16,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,19612,-1,19613
17,17,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,16920,-1,16921
18,18,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,20844,-1,20845
19,19,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,21740,-1,21741
20,20,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,14896,-1,14897
21,21,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17244,-1,17245
22,22,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17024,-1,17025
23,23,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,18816,-1,18817
24,24,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,22752,-1,22753
25,25,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,20048,-1,20049
26,26,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,18936,-1,18937
27,27,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,20160,-1,20161
28,28,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17708,-1,17709
29,29,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,19836,-1,19837
30,30,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,20276,-1,20277
31,31,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,19168,-1,19169
32,32,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,16696,-1,16697
33,33,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17716,-1,17717
34,34,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,19712,-1,19713
35,35,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17364,-1,17365
36,36,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,16800,-1,16801
37,37,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,20608,-1,20609
38,38,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17588,-1,17589
39,39,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17808,-1,17809
40,40,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,20724,-1,20725
41,41,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17256,-1,17257
42,42,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17360,-1,17361
43,43,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,21516,-1,21517
44,44,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,21064,-1,21065
45,45,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,22072,-1,22073
46,46,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17704,-1,17705
47,47,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,18032,-1,18033
48,48,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,17040,-1,17041
49,49,pyqt6,default,pyqt6_default,getpixel,False,getpixel_False,20280,-1,20281
