,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2711,EPrime,default,EPrime_default,fullscreen,,none,17383,20206,-1,17384
1,1,2711,EPrime,default,EPrime_default,fullscreen,,none,17082,20169,-1,17083
2,2,2711,EPrime,default,EPrime_default,fullscreen,,none,16552,19646,-1,16553
3,3,2711,EPrime,default,EPrime_default,fullscreen,,none,19473,22293,-1,19474
4,4,2711,EPrime,default,EPrime_default,fullscreen,,none,18406,21497,-1,18407
5,5,2711,EPrime,default,EPrime_default,fullscreen,,none,20792,23618,-1,20793
6,6,2711,EPrime,default,EPrime_default,fullscreen,,none,18150,21236,-1,18151
7,7,2711,EPrime,default,EPrime_default,fullscreen,,none,14691,17516,-1,14692
8,8,2711,EPrime,default,EPrime_default,fullscreen,,none,24237,27059,-1,24238
9,9,2711,EPrime,default,EPrime_default,fullscreen,,none,16821,19911,-1,16822
10,10,2711,EPrime,default,EPrime_default,fullscreen,,none,25057,27879,-1,25058
11,11,2711,EPrime,default,EPrime_default,fullscreen,,none,18422,21512,-1,18423
12,12,2711,EPrime,default,EPrime_default,fullscreen,,none,18685,21772,-1,18686
13,13,2711,EPrime,default,EPrime_default,fullscreen,,none,19748,22571,-1,19749
14,14,2711,EPrime,default,EPrime_default,fullscreen,,none,18147,20973,-1,18148
