,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,7047,7224,-1,7048
1,1,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4093,4524,-1,4094
2,2,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4881,5321,-1,4882
3,3,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3817,4257,-1,3818
4,4,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3815,4255,-1,3816
5,5,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3822,4254,-1,3823
6,6,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4879,5048,-1,4880
7,7,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4887,5319,-1,4888
8,8,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3555,5849,-1,3556
9,9,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3565,4260,-1,3566
10,10,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3558,3992,-1,3559
11,11,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4084,4517,-1,4085
12,12,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3818,4250,-1,3819
13,13,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,5152,5321,-1,5153
14,14,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4880,5049,-1,4881
15,15,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3285,5573,-1,3286
16,16,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3821,3991,-1,3822
17,17,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3825,4265,-1,3826
18,18,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4361,4266,-1,4362
19,19,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3815,3992,-1,3816
20,20,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4620,5059,-1,4621
21,21,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4081,4520,-1,4082
22,22,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4882,5059,-1,4883
23,23,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4350,4527,-1,4351
24,24,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4618,4787,-1,4619
25,25,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4093,4524,-1,4094
26,26,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,4620,5051,-1,4621
27,27,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,3559,3992,-1,3560
28,28,2983,Direct3D,default,Direct3D_default,fullscreen,3,getpixel,5144,5313,-1,5145
