,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,24757,175,21678,3079
1,1,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25080,171,20728,4352
2,2,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25950,341,21839,4111
3,3,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,22318,171,19844,2474
4,4,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25601,178,21553,4048
5,5,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,26123,172,21943,4180
6,6,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,26123,170,23029,3094
7,7,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25257,171,21135,4122
8,8,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25935,171,21819,4116
9,9,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,24405,171,20343,4062
10,10,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,22159,171,19797,2362
11,11,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,26290,170,22202,4088
12,12,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,24549,170,20626,3923
13,13,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25753,171,21439,4314
14,14,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25239,171,20941,4298
15,15,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25080,170,20902,4178
16,16,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25605,171,21456,4149
17,17,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,24395,170,20114,4281
18,18,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25585,170,21344,4241
19,19,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,26130,349,21983,4147
20,20,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,24747,170,20661,4086
21,21,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,26260,170,22148,4112
22,22,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25589,171,21252,4337
23,23,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,24382,170,20103,4279
24,24,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,26447,170,22223,4224
25,25,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,24043,170,21420,2623
26,26,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25081,178,20929,4152
27,27,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25929,178,22014,3915
28,28,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25585,171,21262,4323
29,29,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25073,170,20897,4176
30,30,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25948,171,21869,4079
31,31,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,25765,171,21526,4239
32,32,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,26469,171,22251,4218
33,33,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,24372,170,20128,4244
34,34,3837,FLTK,rects,FLTK_rects,fullscreen,2,windup,26091,170,21916,4175
