,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,23517,1379,19069,4448
1,1,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,29019,342,22476,6543
2,2,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,25069,691,18695,6374
3,3,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,25413,516,19207,6206
4,4,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,25412,171,19213,6199
5,5,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,23683,349,17606,6077
6,6,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,23699,693,17237,6462
7,7,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,23526,171,16872,6654
8,8,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,23870,171,17421,6449
9,9,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,24540,342,18240,6300
10,10,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,25582,2235,19410,6172
11,11,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,23535,1550,17259,6276
12,12,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,25408,690,18957,6451
13,13,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,25066,860,18771,6295
14,14,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,23346,862,18929,4417
15,15,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,25069,1202,18877,6192
16,16,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,24043,170,18172,5871
17,17,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,24384,1375,19866,4518
18,18,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,23523,682,19022,4501
19,19,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,24729,862,18533,6196
20,20,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,25229,2063,18917,6312
21,21,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,24031,1723,19872,4159
22,22,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,24033,1203,19773,4260
23,23,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,24390,171,19906,4484
24,24,3798,GDIplus,rects,GDIplus_rects,fullscreen,2,getpixel,25760,519,19480,6280
