,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,6181,4294967164,-1,6182
1,1,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,3374,4294967164,-1,3375
2,2,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4753,4294967164,-1,4754
3,3,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4062,4294967164,-1,4063
4,4,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4576,4294967164,-1,4577
5,5,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,3893,4294967164,-1,3894
6,6,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,5103,4294967164,-1,5104
7,7,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,3891,4294967164,-1,3892
8,8,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,3545,4294967164,-1,3546
9,9,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,5100,4294967164,-1,5101
10,10,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4406,4294967164,-1,4407
11,11,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4243,4294967164,-1,4244
12,12,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4757,4294967164,-1,4758
13,13,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4061,4294967164,-1,4062
14,14,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,3559,4294967164,-1,3560
15,15,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4063,4294967164,-1,4064
16,16,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4583,4294967164,-1,4584
17,17,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,5280,4294967164,-1,5281
18,18,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,3553,4294967164,-1,3554
19,19,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,5272,4294967164,-1,5273
20,20,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4237,4294967164,-1,4238
21,21,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4404,4294967164,-1,4405
22,22,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,3553,4294967164,-1,3554
23,23,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4069,4294967164,-1,4070
24,24,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4238,4294967164,-1,4239
25,25,2483,GLEW,image,GLEW_image,fullscreen,3,getpixel,4758,4294967164,-1,4759
