,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6122,8435,3077,3045
1,1,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7506,9818,4037,3469
2,2,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7843,10330,1503,6340
3,3,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7502,9987,4025,3477
4,4,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6473,8790,2553,3920
5,5,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6473,8791,2983,3490
6,6,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6810,9294,3143,3667
7,7,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7495,9980,1565,5930
8,8,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6978,9469,3764,3214
9,9,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6637,9130,3234,3403
10,10,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7670,10157,1506,6164
11,11,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7324,9809,3837,3487
12,12,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6640,9132,1471,5169
13,13,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7337,9821,3736,3601
14,14,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6121,8606,2286,3835
15,15,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6637,8956,2935,3702
16,16,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6636,9123,3169,3467
17,17,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6815,9307,3392,3423
18,18,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6465,8949,2950,3515
19,19,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6463,8616,2438,4025
20,20,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7332,9651,3869,3463
21,21,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6802,9124,3279,3523
22,22,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7491,9804,1397,6094
23,23,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6979,9470,3326,3653
24,24,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6116,8439,2138,3978
25,25,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6809,9471,2900,3909
26,26,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6813,9306,1557,5256
27,27,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7673,9987,1647,6026
28,28,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6464,8775,2822,3642
29,29,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7499,9822,1349,6150
30,30,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6974,9290,3204,3770
31,31,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7843,10332,1729,6114
32,32,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6980,9816,1543,5437
33,33,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6647,9138,3082,3565
34,34,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7489,9975,1537,5952
35,35,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7491,9809,4051,3440
36,36,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7665,9986,3865,3800
37,37,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6463,8794,2952,3511
38,38,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6625,9117,1498,5127
39,39,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6457,8776,2789,3668
40,40,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,8187,10686,1469,6718
41,41,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6981,9305,3603,3378
42,42,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,6643,9134,3170,3473
43,43,2260,GLUT,default,GLUT_default,no_fullscreen,2,getpixel,7851,10343,1528,6323
