,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,49865,51666,14102,35763
1,1,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,38306,55089,19311,18995
2,2,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,27115,44762,7447,19668
3,3,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,20581,51140,13559,7022
4,4,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,45730,47707,10117,35613
5,5,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,11111,53553,16231,-5120
6,6,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,48985,51132,13638,35347
7,7,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,47941,49401,12166,35775
8,8,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,45722,48040,11002,34720
9,9,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,54177,55813,18151,36026
10,10,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,50892,52695,15149,35743
11,11,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,51410,53563,15939,35471
12,12,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,48651,51316,14097,34554
13,13,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,45901,47354,9871,36030
14,14,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,51808,53777,16427,35381
15,15,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,56059,57174,19983,36076
16,16,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,54347,55977,18337,36010
17,17,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,26089,50443,12839,13250
18,18,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,54180,55640,18159,36021
19,19,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,50717,52863,15429,35288
20,20,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,49028,51180,13489,35539
21,21,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,41402,43032,5627,35775
22,22,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,41924,43384,5876,36048
23,23,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,45754,47209,9922,35832
24,24,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,48850,51520,14377,34473
25,25,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,42617,44591,7113,35504
26,26,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,55019,56813,19440,35579
27,27,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,55211,57183,19560,35651
28,28,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,44356,46499,9106,35250
29,29,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,10256,50448,12837,-2581
30,30,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,53477,55109,17873,35604
31,31,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,50021,51823,14280,35741
32,32,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,22312,43219,5754,16558
33,33,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,52942,55087,17664,35278
34,34,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,53823,55105,17752,36071
35,35,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,56568,57858,20283,36285
36,36,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,25558,51461,14160,11398
37,37,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,50886,52689,15461,35425
38,38,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,52782,54072,16564,36218
39,39,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,34887,56321,18906,15981
40,40,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,263,57859,20262,-19999
41,41,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,41939,43225,5943,35996
42,42,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,53974,55094,17745,36229
43,43,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,16278,58743,4052,12226
44,44,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,20758,55795,18185,2573
45,45,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,46074,48224,10780,35294
46,46,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,49351,51328,13871,35480
47,47,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,47592,49051,11699,35893
48,48,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,41579,51301,13687,27892
49,49,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,50348,53183,15542,34806
50,50,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,27305,45809,8734,18571
51,51,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,47628,49257,13392,34236
52,52,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,43485,49774,13625,29860
53,53,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,43140,57498,20071,23069
54,54,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,13703,52701,15181,-1478
55,55,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,44544,49613,12240,32304
56,56,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,44181,46496,8887,35294
57,57,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,56078,58392,20868,35210
58,58,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,47621,49598,12197,35424
59,59,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,50032,51483,14038,35994
60,60,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,15774,44105,6723,9051
61,61,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,49365,50996,14462,34903
62,62,2266,GLUT,image,GLUT_image,fullscreen,2,getpixel,55216,57022,19678,35538
