,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,4235,175,17555,-13320
1,1,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,43653,171,14940,28713
2,2,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,39721,179,4543,35178
3,3,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,40559,170,4772,35787
4,4,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,42450,170,7273,35177
5,5,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,45052,170,8768,36284
6,6,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,26453,171,6908,19545
7,7,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,38859,171,4211,34648
8,8,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,40722,171,4936,35786
9,9,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,47130,171,11811,35319
10,10,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,42451,178,6586,35865
11,11,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,8352,170,15513,-7161
12,12,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,16970,170,14194,2776
13,13,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,24042,178,12021,12021
14,14,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,55717,170,2510,53207
15,15,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,37302,178,7949,29353
16,16,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,47086,170,11119,35967
17,17,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,42107,171,6619,35488
18,18,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,54680,170,2311,52369
19,19,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,30748,170,13664,17084
20,20,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,8528,171,9052,-524
21,21,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,39868,170,3991,35877
22,22,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,54344,170,2313,52031
23,23,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,54849,178,2095,52754
24,24,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,46056,170,10790,35266
25,25,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,25936,171,2553,23383
26,26,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,19909,171,13439,6470
27,27,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,7840,171,17675,-9835
28,28,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,52268,170,16635,35633
29,29,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,49707,171,14429,35278
30,30,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,52270,170,17034,35236
31,31,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,52820,176,17805,35015
32,32,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,31785,171,9689,22096
33,33,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,31604,171,10174,21430
34,34,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,51080,171,15146,35934
35,35,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,50429,171,14749,35680
36,36,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,45182,170,9493,35689
37,37,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,52966,178,17270,35696
38,38,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,41940,171,6387,35553
39,39,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,40404,170,11977,28427
40,40,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,50898,170,17328,33570
41,41,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,15426,178,6975,8451
42,42,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,39182,170,16519,22663
43,43,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,40545,170,4686,35859
44,44,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,54521,171,18476,36045
45,45,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,26617,20144,14622,11995
46,46,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,53655,171,18379,35276
47,47,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,16295,179,13322,2973
48,48,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,45562,170,10109,35453
49,49,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,20939,178,16294,4645
50,50,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,50381,170,16103,34278
51,51,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,42112,170,6494,35618
52,52,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,44193,178,9311,34882
53,53,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,23703,171,4213,19490
54,54,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,45220,170,10325,34895
55,55,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,41605,171,6296,35309
56,56,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,56074,178,2681,53393
57,57,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,17148,178,16086,1062
58,58,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,43154,171,8032,35122
59,59,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,50045,170,1971,48074
60,60,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,44528,171,9040,35488
61,61,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,45380,171,9378,36002
62,62,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,50907,170,15465,35442
63,63,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,50215,170,15505,34710
64,64,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,29190,171,14997,14193
65,65,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,37980,178,5253,32727
66,66,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,42133,171,6787,35346
67,67,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,39000,170,3557,35443
68,68,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,17649,170,10929,6720
69,69,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,50886,171,15716,35170
70,70,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,45910,178,10584,35326
71,71,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,40568,170,5558,35010
72,72,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,39009,174,4269,34740
73,73,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,52991,32220,17501,35490
74,74,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,19213,171,7140,12073
75,75,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,52634,171,16894,35740
76,76,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,40907,171,5289,35618
77,77,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,49862,178,14688,35174
78,78,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,42285,171,6879,35406
79,79,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,47976,170,13145,34831
80,80,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,51413,178,17017,34396
81,81,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,19203,171,8471,10732
82,82,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,10431,170,8045,2386
83,83,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,52600,171,18099,34501
84,84,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,51412,171,16381,35031
85,85,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,10773,178,17578,-6805
86,86,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,5430,171,10354,-4924
87,87,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,434,170,13511,-13077
88,88,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,44194,172,10422,33772
89,89,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,43174,178,7983,35191
90,90,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,40375,170,5702,34673
91,91,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,47958,171,13260,34698
92,92,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,51925,170,17309,34616
93,93,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,40938,170,6055,34883
94,94,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,43648,171,8872,34776
95,95,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,22991,179,13531,9460
96,96,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,31608,170,16405,15203
97,97,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,48667,171,13796,34871
98,98,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,39025,170,4772,34253
99,99,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,27989,171,7212,20777
100,100,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,44700,171,7505,37195
101,101,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,19212,171,2086,17126
102,102,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,52964,170,18365,34599
103,103,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,44165,170,9228,34937
104,104,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,49883,170,14970,34913
105,105,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,33487,171,14324,19163
106,106,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,12836,178,18766,-5930
107,107,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,43151,170,8728,34423
108,108,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,39351,179,4514,34837
109,109,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,6475,178,16866,-10391
110,110,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,43477,170,9637,33840
111,111,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,3887,178,7157,-3270
112,112,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,29208,171,4954,24254
113,113,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,30766,171,15865,14901
114,114,3512,GLUT,rects,GLUT_rects,fullscreen,2,getpixel,6627,170,14332,-7705
