,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3294,GTK,rects,GTK_rects,fullscreen,,none,446,0,-1,447
1,1,3294,GTK,rects,GTK_rects,fullscreen,,none,261,0,-1,262
2,2,3294,GTK,rects,GTK_rects,fullscreen,,none,262,0,-1,263
3,3,3294,GTK,rects,GTK_rects,fullscreen,,none,1643,688,-1,1644
4,4,3294,GTK,rects,GTK_rects,fullscreen,,none,2327,0,-1,2328
5,5,3294,GTK,rects,GTK_rects,fullscreen,,none,1464,0,-1,1465
6,6,3294,GTK,rects,GTK_rects,fullscreen,,none,5431,2410,-1,5432
7,7,3294,GTK,rects,GTK_rects,fullscreen,,none,1306,0,-1,1307
8,8,3294,GTK,rects,GTK_rects,fullscreen,,none,260,0,-1,261
9,9,3294,GTK,rects,GTK_rects,fullscreen,,none,780,0,-1,781
10,10,3294,GTK,rects,GTK_rects,fullscreen,,none,90,0,-1,91
11,11,3294,GTK,rects,GTK_rects,fullscreen,,none,98,0,-1,99
12,12,3294,GTK,rects,GTK_rects,fullscreen,,none,609,0,-1,610
13,13,3294,GTK,rects,GTK_rects,fullscreen,,none,1810,0,-1,1811
14,14,3294,GTK,rects,GTK_rects,fullscreen,,none,603,0,-1,604
15,15,3294,GTK,rects,GTK_rects,fullscreen,,none,1301,0,-1,1302
16,16,3294,GTK,rects,GTK_rects,fullscreen,,none,89,0,-1,90
17,17,3294,GTK,rects,GTK_rects,fullscreen,,none,3192,0,-1,3193
18,18,3294,GTK,rects,GTK_rects,fullscreen,,none,91,0,-1,92
19,19,3294,GTK,rects,GTK_rects,fullscreen,,none,2324,0,-1,2325
20,20,3294,GTK,rects,GTK_rects,fullscreen,,none,1292,0,-1,1293
21,21,3294,GTK,rects,GTK_rects,fullscreen,,none,1983,0,-1,1984
22,22,3294,GTK,rects,GTK_rects,fullscreen,,none,1461,0,-1,1462
23,23,3294,GTK,rects,GTK_rects,fullscreen,,none,1293,0,-1,1294
24,24,3294,GTK,rects,GTK_rects,fullscreen,,none,1816,1206,-1,1817
25,25,3294,GTK,rects,GTK_rects,fullscreen,,none,265,0,-1,266
26,26,3294,GTK,rects,GTK_rects,fullscreen,,none,90,0,-1,91
27,27,3294,GTK,rects,GTK_rects,fullscreen,,none,609,0,-1,610
28,28,3294,GTK,rects,GTK_rects,fullscreen,,none,951,0,-1,952
29,29,3294,GTK,rects,GTK_rects,fullscreen,,none,614,342,-1,615
30,30,3294,GTK,rects,GTK_rects,fullscreen,,none,90,0,-1,91
31,31,3294,GTK,rects,GTK_rects,fullscreen,,none,2671,168,-1,2672
32,32,3294,GTK,rects,GTK_rects,fullscreen,,none,1122,0,-1,1123
33,33,3294,GTK,rects,GTK_rects,fullscreen,,none,1121,0,-1,1122
34,34,3294,GTK,rects,GTK_rects,fullscreen,,none,771,0,-1,772
35,35,3294,GTK,rects,GTK_rects,fullscreen,,none,1983,168,-1,1984
36,36,3294,GTK,rects,GTK_rects,fullscreen,,none,1295,339,-1,1296
37,37,3294,GTK,rects,GTK_rects,fullscreen,,none,6978,1200,-1,6979
38,38,3294,GTK,rects,GTK_rects,fullscreen,,none,954,0,-1,955
39,39,3294,GTK,rects,GTK_rects,fullscreen,,none,2333,176,-1,2334
40,40,3294,GTK,rects,GTK_rects,fullscreen,,none,2506,1381,-1,2507
41,41,3294,GTK,rects,GTK_rects,fullscreen,,none,1121,1200,-1,1122
42,42,3294,GTK,rects,GTK_rects,fullscreen,,none,955,1034,-1,956
43,43,3294,GTK,rects,GTK_rects,fullscreen,,none,1124,339,-1,1125
44,44,3294,GTK,rects,GTK_rects,fullscreen,,none,775,0,-1,776
