,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,4751,6895,2434,2317
1,1,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,5950,6199,2212,3738
2,2,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,4392,6707,2487,1905
3,3,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,5428,5849,1779,3649
4,4,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,4390,6707,2451,1939
5,5,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,5261,5510,2569,2692
6,6,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,5434,5684,2550,2884
7,7,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,6120,6370,2089,4031
8,8,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,4567,6885,1945,2622
9,9,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,5774,6023,1747,4027
10,10,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,5597,5846,3275,2322
11,11,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,5424,5673,2858,2566
12,12,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,4903,6881,2810,2093
13,13,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,5784,6033,2274,3510
14,14,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,5257,5335,2729,2528
15,15,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,4398,6542,2311,2087
16,16,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,5265,5692,2667,2598
17,17,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,4740,5160,2545,2195
18,18,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,6460,6888,2305,4155
19,19,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,5425,5683,2745,2680
20,20,2315,Java2D,default,Java2D_default,fullscreen,3,bitblt,4914,5171,2768,2146
