,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5268,0,3084,2184
1,1,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5941,0,2233,3708
2,2,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5779,0,1933,3846
3,3,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,4742,0,2762,1980
4,4,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5091,0,2692,2399
5,5,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5436,0,2730,2706
6,6,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,4743,0,2801,1942
7,7,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5767,0,1896,3871
8,8,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5079,0,2686,2393
9,9,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,4400,0,2476,1924
10,10,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5085,0,2751,2334
11,11,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5086,0,2721,2365
12,12,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,4736,0,2258,2478
13,13,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,4912,0,2635,2277
14,14,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5769,0,1981,3788
15,15,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,4912,0,2717,2195
16,16,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5425,0,3492,1933
17,17,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5602,0,3617,1985
18,18,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,4741,0,2603,2138
19,19,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5949,0,2129,3820
20,20,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5079,0,2626,2453
21,21,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5602,0,3393,2209
22,22,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5950,0,2159,3791
23,23,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,4398,0,2474,1924
24,24,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,5255,0,2687,2568
25,25,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,6114,0,2273,3841
26,26,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,6110,0,2267,3843
27,27,2492,Java2D,image,Java2D_image,fullscreen,3,getpixel,4915,0,2603,2312
