,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8199,1555,4171,4028
1,1,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6461,346,4133,2328
2,2,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8182,1200,4602,3580
3,3,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6809,518,5022,1787
4,4,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7500,517,4641,2859
5,5,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8696,687,4992,3704
6,6,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7673,517,4583,3090
7,7,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8357,1372,4130,4227
8,8,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,9216,339,5349,3867
9,9,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7671,176,5003,2668
10,10,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7496,853,5008,2488
11,11,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7487,1885,5147,2340
12,12,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7836,2579,4626,3210
13,13,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8192,1543,4093,4099
14,14,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8522,1375,4224,4298
15,15,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6976,1030,5098,1878
16,16,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8716,688,4948,3768
17,17,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7844,346,3745,4099
18,18,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6984,687,4936,2048
19,19,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7840,687,4905,2935
20,20,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7839,688,5504,2335
21,21,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6652,176,4861,1791
22,22,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7151,339,4893,2258
23,23,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8013,1370,5028,2985
24,24,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7143,518,4833,2310
25,25,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7151,688,4878,2273
26,26,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8189,514,6457,1732
27,27,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7668,176,4931,2737
28,28,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7314,1370,5041,2273
29,29,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7489,509,5625,1864
30,30,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8864,516,5089,3775
31,31,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7489,689,5359,2130
32,32,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8020,1717,5595,2425
33,33,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7850,1209,5578,2272
34,34,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8013,688,5585,2428
35,35,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8177,516,5218,2959
36,36,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8535,1029,4816,3719
37,37,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8182,687,5050,3132
38,38,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8702,508,5012,3690
39,39,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7489,169,5516,1973
40,40,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8012,859,4938,3074
41,41,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8355,2405,5162,3193
42,42,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8525,340,4872,3653
43,43,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7488,167,5167,2321
44,44,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7146,345,5410,1736
45,45,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8354,689,4337,4017
46,46,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6969,167,5440,1529
47,47,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8874,1717,5071,3803
48,48,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8693,168,4632,4061
49,49,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8356,688,4159,4197
50,50,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6984,689,4128,2856
51,51,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8176,687,5392,2784
52,52,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7170,1031,5308,1862
53,53,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7670,1374,4808,2862
54,54,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6461,3263,4759,1702
55,55,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7150,516,4541,2609
56,56,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8007,167,5125,2882
57,57,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7326,167,5113,2213
58,58,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8361,168,4694,3667
59,59,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7669,693,4185,3484
60,60,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8192,346,4885,3307
61,61,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7156,689,5039,2117
62,62,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8536,339,5014,3522
63,63,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6981,167,5179,1802
64,64,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6977,851,4948,2029
65,65,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8014,1549,5206,2808
66,66,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6469,167,4952,1517
67,67,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6979,1199,5153,1826
68,68,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7496,346,5233,2263
69,69,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7328,175,4320,3008
70,70,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7325,176,5107,2218
71,71,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8704,3267,4593,4111
72,72,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8364,516,4702,3662
73,73,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7490,517,5355,2135
74,74,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7320,508,5445,1875
75,75,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8713,1031,5154,3559
76,76,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8529,858,4956,3573
77,77,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8177,1030,5017,3160
78,78,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8523,1031,4692,3831
79,79,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8535,175,4631,3904
80,80,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8529,347,4901,3628
81,81,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7668,168,4683,2985
82,82,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7668,516,4738,2930
83,83,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7837,338,4723,3114
84,84,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8530,688,4868,3662
85,85,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8003,168,4365,3638
86,86,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7668,1379,4854,2814
87,87,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7320,509,4867,2453
88,88,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7843,1553,5166,2677
89,89,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8192,521,4956,3236
90,90,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7842,167,4597,3245
91,91,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7663,175,4570,3093
92,92,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7842,862,4619,3223
93,93,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7841,1199,4987,2854
94,94,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8703,687,4496,4207
95,95,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7320,1896,5251,2069
96,96,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8182,168,4980,3202
97,97,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8007,168,5011,2996
98,98,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8524,509,4635,3889
99,99,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7495,168,5374,2121
100,100,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7502,338,4021,3481
101,101,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7486,167,5193,2293
102,102,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6980,167,4961,2019
103,103,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7146,858,4703,2443
104,104,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8012,687,4988,3024
105,105,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7848,1379,3828,4020
106,106,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7489,169,5106,2383
107,107,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8181,1202,4994,3187
108,108,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6980,345,4657,2323
109,109,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8363,859,4858,3505
110,110,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8536,688,4933,3603
111,111,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8535,513,4811,3724
112,112,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8015,175,4641,3374
113,113,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7663,1541,5368,2295
114,114,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7154,1029,5171,1983
115,115,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,8689,509,4561,4128
116,116,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7145,858,4758,2387
117,117,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7665,168,5641,2024
118,118,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,6971,345,4334,2637
119,119,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7491,1028,4786,2705
120,120,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7673,688,5615,2058
121,121,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7662,509,5369,2293
122,122,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7494,509,4863,2631
123,123,3883,Java2D,rects,Java2D_rects,fullscreen,3,getpixel,7842,510,4702,3140
