,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,5785,0,6037,-252
1,1,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,4398,0,4749,-351
2,2,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,4921,0,5126,-205
3,3,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,4229,0,2789,1440
4,4,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,4746,0,2761,1985
5,5,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,5435,0,3283,2152
6,6,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,4401,0,2735,1666
7,7,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,4908,0,2755,2153
8,8,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,4739,0,2707,2032
9,9,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,5433,0,3162,2271
10,10,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,3882,0,3550,332
11,11,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,4054,0,2763,1291
12,12,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,5772,0,4311,1461
13,13,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,4573,0,2675,1898
14,14,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,4744,0,3216,1528
15,15,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,4911,0,2727,2184
16,16,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,5081,0,3166,1915
17,17,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,5778,0,4000,1778
18,18,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,5947,0,2989,2958
19,19,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,5081,0,3074,2007
20,20,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,5610,0,4170,1440
21,21,2507,JavaSwing,image,JavaSwing_image,fullscreen,3,windup,5439,0,3291,2148
