,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10964,13286,4921,6043
1,1,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9057,11381,3018,6039
2,2,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10088,12239,3969,6119
3,3,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10417,12564,4518,5899
4,4,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10595,12917,4703,5892
5,5,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9397,11720,3524,5873
6,6,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10950,13274,5448,5502
7,7,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10263,12589,4316,5947
8,8,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9219,11546,5501,3718
9,9,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9052,11205,5477,3575
10,10,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10081,12405,3904,6177
11,11,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10601,12751,4695,5906
12,12,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10440,12767,4663,5777
13,13,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9907,12745,4426,5481
14,14,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9400,11725,3550,5850
15,15,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9059,11382,3058,6001
16,16,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,11112,13434,4424,6688
17,17,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9567,11891,4361,5206
18,18,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8712,10860,4684,4028
19,19,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8363,10685,4642,3721
20,20,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9754,11900,3642,6112
21,21,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10079,12405,3654,6425
22,22,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9907,12232,3828,6079
23,23,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10098,12416,4148,5950
24,24,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9232,11380,3161,6071
25,25,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8016,10340,3998,4018
26,26,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10616,12762,4757,5859
27,27,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9750,12069,6092,3658
28,28,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10261,12584,4162,6099
29,29,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10433,12755,4191,6242
30,30,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8704,11023,4971,3733
31,31,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9047,11361,3062,5985
32,32,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8713,11029,5439,3274
33,33,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9406,11555,3172,6234
34,34,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9921,12241,3949,5972
35,35,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9058,11377,3131,5927
36,36,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9048,11362,5313,3735
37,37,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9396,11712,5247,4149
38,38,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8704,11019,5054,3650
39,39,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9925,12239,4384,5541
40,40,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8547,11033,5187,3360
41,41,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8541,10857,4868,3673
42,42,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9569,11884,5935,3634
43,43,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9572,11721,3624,5948
44,44,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,11122,13271,5519,5603
45,45,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10768,12915,4944,5824
46,46,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10090,12410,4275,5815
47,47,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10771,13088,4341,6430
48,48,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9749,12069,3451,6298
49,49,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9577,11893,6062,3515
50,50,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9919,12065,3932,5987
51,51,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9913,12229,3955,5958
52,52,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8711,11033,5228,3483
53,53,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10776,12922,4673,6103
54,54,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9221,11544,3199,6022
55,55,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9398,11713,3431,5967
56,56,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9742,12062,3933,5809
57,57,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8369,10687,4910,3459
58,58,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10094,12415,4409,5685
59,59,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9053,11372,6712,2341
60,60,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8714,11031,5354,3360
61,61,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9568,11546,3405,6163
62,62,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9055,11371,5329,3726
63,63,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9215,11533,3254,5961
64,64,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9566,11878,3612,5954
65,65,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9228,11550,3171,6057
66,66,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9395,11713,5341,4054
67,67,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9913,12234,4070,5843
68,68,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10431,12745,4108,6323
69,69,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9061,11212,5391,3670
70,70,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9565,11883,5920,3645
71,71,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9231,11543,3159,6072
72,72,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9743,12058,3743,6000
73,73,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,8713,11033,5184,3529
74,74,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9394,11538,3418,5976
75,75,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9057,11199,5225,3832
76,76,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9744,12059,3874,5870
77,77,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,9055,11374,3198,5857
78,78,2320,Qt5,default,Qt5_default,fullscreen,2,getpixel,10074,12389,3956,6118
