,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10776,13091,7832,2944
1,1,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,11107,13421,7080,4027
2,2,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10070,12391,5792,4278
3,3,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10607,12922,6379,4228
4,4,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10434,12751,6108,4326
5,5,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,9574,11895,5372,4202
6,6,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,9900,12225,5592,4308
7,7,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10076,12391,5895,4181
8,8,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10418,12561,6129,4289
9,9,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,9555,11874,5328,4227
10,10,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,9390,11881,5265,4125
11,11,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,9385,11536,5050,4335
12,12,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10086,12411,5927,4159
13,13,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,9563,11877,5443,4120
14,14,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10431,12581,6328,4103
15,15,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10767,13088,6584,4183
16,16,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10591,12913,6275,4316
17,17,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10251,12564,6131,4120
18,18,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10944,13266,6724,4220
19,19,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10250,12573,6052,4198
20,20,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,9910,12231,6050,3860
21,21,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,7492,9814,5007,2485
22,22,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10589,12917,6316,4273
23,23,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,11108,13429,6884,4224
24,24,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,9563,11886,5521,4042
25,25,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,9559,12059,5497,4062
26,26,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10609,12753,6190,4419
27,27,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10252,12573,6115,4137
28,28,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10590,12910,6425,4165
29,29,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,10078,12401,5998,4080
30,30,2304,Qt6,default,Qt6_default,no_fullscreen,2,windup,9551,11878,5458,4093
