,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5776,7066,-1,5777
1,1,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5784,2930,-1,5785
2,2,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6294,7411,-1,6295
3,3,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5766,52702,-1,5767
4,4,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5432,23583,-1,5433
5,5,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4230,24795,-1,4231
6,6,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4564,3096,-1,4565
7,7,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4734,12562,-1,4735
8,8,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6118,7408,-1,6119
9,9,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4398,1543,-1,4399
10,10,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5766,2747,-1,5767
11,11,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5434,22755,-1,5435
12,12,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4221,1722,-1,4222
13,13,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5423,4646,-1,5424
14,14,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4395,4652,-1,4396
15,15,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5258,7579,-1,5259
16,16,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5089,8101,-1,5090
17,17,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4392,29808,-1,4393
18,18,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4918,5857,-1,4919
19,19,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5769,15503,-1,5770
20,20,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4399,5859,-1,4400
21,21,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4393,11888,-1,4394
22,22,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4924,5172,-1,4925
23,23,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4906,855,-1,4907
24,24,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5264,4131,-1,5265
25,25,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6813,1035,-1,6814
26,26,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5433,6896,-1,5434
27,27,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4400,4299,-1,4401
28,28,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5602,1726,-1,5603
29,29,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5773,342,-1,5774
30,30,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5430,8439,-1,5431
31,31,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5946,15145,-1,5947
32,32,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5268,22042,-1,5269
33,33,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4573,3797,-1,4574
34,34,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5944,12567,-1,5945
35,35,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4573,9301,-1,4574
36,36,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5774,27921,-1,5775
37,37,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4228,20149,-1,4229
38,38,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7157,14983,-1,7158
39,39,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5086,11886,-1,5087
40,40,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6115,1372,-1,6116
41,41,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5777,341,-1,5778
42,42,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6993,3614,-1,6994
43,43,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5946,8780,-1,5947
44,44,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5602,691,-1,5603
45,45,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6470,6377,-1,6471
46,46,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5605,14117,-1,5606
47,47,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4405,11716,-1,4406
48,48,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5946,14459,-1,5947
49,49,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5773,54257,-1,5774
50,50,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4226,7575,-1,4227
51,51,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4742,6548,-1,4743
52,52,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4747,4483,-1,4748
53,53,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5615,15503,-1,5616
54,54,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6117,6366,-1,6118
55,55,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4055,14634,-1,4056
56,56,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5775,15665,-1,5776
57,57,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5264,17911,-1,5265
58,58,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5257,9131,-1,5258
59,59,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5609,178,-1,5610
60,60,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5953,3795,-1,5954
61,61,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5953,6724,-1,5954
62,62,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6122,692,-1,6123
63,63,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6290,11886,-1,6291
64,64,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6121,14811,-1,6122
65,65,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5084,16882,-1,5085
66,66,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5430,341,-1,5431
67,67,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4917,2063,-1,4918
68,68,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5783,21872,-1,5784
69,69,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5774,31709,-1,5775
70,70,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6979,15319,-1,6980
71,71,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5604,6207,-1,5605
72,72,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4226,5857,-1,4227
73,73,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4747,16540,-1,4748
74,74,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4741,7919,-1,4742
75,75,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4395,2065,-1,4396
76,76,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5431,4306,-1,5432
77,77,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4391,1884,-1,4392
78,78,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5429,862,-1,5430
79,79,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4914,9130,-1,4915
80,80,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5949,4299,-1,5950
81,81,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4398,5860,-1,4399
82,82,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4571,19638,-1,4572
83,83,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4744,1380,-1,4745
84,84,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6130,2935,-1,6131
85,85,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4747,27899,-1,4748
86,86,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6123,7235,-1,6124
87,87,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5611,2583,-1,5612
88,88,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4732,15661,-1,4733
89,89,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6123,1552,-1,6124
90,90,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4404,3619,-1,4405
91,91,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5442,23085,-1,5443
92,92,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7659,14631,-1,7660
93,93,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5950,8276,-1,5951
94,94,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6286,30827,-1,6287
95,95,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4750,178,-1,4751
96,96,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5260,5688,-1,5261
97,97,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5090,1897,-1,5091
98,98,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5425,6366,-1,5426
99,99,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6120,46840,-1,6121
100,100,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4731,1202,-1,4732
101,101,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4225,859,-1,4226
102,102,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5089,5681,-1,5090
103,103,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5601,18945,-1,5602
104,104,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7150,11018,-1,7151
105,105,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5954,3279,-1,5955
106,106,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5788,22741,-1,5789
107,107,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4921,18963,-1,4922
108,108,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5599,3790,-1,5600
109,109,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5948,511,-1,5949
110,110,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5089,52201,-1,5090
111,111,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5768,18257,-1,5769
112,112,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4225,6893,-1,4226
113,113,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7671,1543,-1,7672
114,114,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5437,13962,-1,5438
115,115,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4565,57529,-1,4566
116,116,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5592,6020,-1,5593
117,117,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6296,21357,-1,6297
118,118,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4224,7919,-1,4225
119,119,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4058,1373,-1,4059
120,120,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4569,12388,-1,4570
121,121,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5776,7397,-1,5777
122,122,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4238,8102,-1,4239
123,123,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5787,4306,-1,5788
124,124,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5781,3960,-1,5782
125,125,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5081,8955,-1,5082
126,126,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6120,27383,-1,6121
127,127,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5269,10509,-1,5270
128,128,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5433,178,-1,5434
129,129,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4748,13428,-1,4749
130,130,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5439,34078,-1,5440
131,131,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,6302,12067,-1,6303
132,132,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4228,3104,-1,4229
133,133,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5444,38070,-1,5445
134,134,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5083,13254,-1,5084
135,135,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4400,15498,-1,4401
136,136,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4232,179,-1,4233
137,137,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4404,1893,-1,4405
138,138,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5440,7411,-1,5441
139,139,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5085,8430,-1,5086
140,140,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4401,1895,-1,4402
141,141,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5777,8436,-1,5778
142,142,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,4741,22210,-1,4742
143,143,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5087,12565,-1,5088
144,144,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5780,12227,-1,5781
145,145,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,7498,349,-1,7499
146,146,1989,SDL2_Direct3D,default,SDL2_Direct3D_default,small,,none,5431,10502,-1,5432
