,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4224,0,-1,4225
1,1,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4738,0,-1,4739
2,2,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,3526,0,-1,3527
3,3,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4407,0,-1,4408
4,4,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4052,0,-1,4053
5,5,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,5082,0,-1,5083
6,6,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,5082,0,-1,5083
7,7,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4393,0,-1,4394
8,8,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4389,0,-1,4390
9,9,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4047,0,-1,4048
10,10,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4051,0,-1,4052
11,11,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4910,0,-1,4911
12,12,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4738,0,-1,4739
13,13,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,5081,0,-1,5082
14,14,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4047,0,-1,4048
15,15,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,4911,0,-1,4912
16,16,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,5080,0,-1,5081
17,17,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,3705,0,-1,3706
18,18,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,3527,0,-1,3528
19,19,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,3706,0,-1,3707
20,20,2455,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,,none,3877,0,-1,3878
