,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,2675,516,-1,2676
1,1,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1293,0,-1,1294
2,2,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1124,0,-1,1125
3,3,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1814,1378,-1,1815
4,4,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,2678,1027,-1,2679
5,5,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,20572,2927,-1,20573
6,6,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1815,0,-1,1816
7,7,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,610,0,-1,611
8,8,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,6640,1892,-1,6641
9,9,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,4394,0,-1,4395
10,10,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,2497,0,-1,2498
11,11,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,952,0,-1,953
12,12,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1643,0,-1,1644
13,13,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,431,0,-1,432
14,14,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,2166,2065,-1,2167
15,15,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,3876,0,-1,3877
16,16,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,3016,0,-1,3017
17,17,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,4741,687,-1,4742
18,18,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,438,0,-1,439
19,19,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1291,686,-1,1292
20,20,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,4053,0,-1,4054
21,21,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,7504,1206,-1,7505
22,22,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,433,0,-1,434
23,23,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,261,0,-1,262
24,24,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,261,0,-1,262
25,25,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1638,0,-1,1639
26,26,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1818,342,-1,1819
27,27,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,261,0,-1,262
28,28,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,2157,0,-1,2158
29,29,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1124,0,-1,1125
30,30,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,3018,167,-1,3019
31,31,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,5084,3266,-1,5085
32,32,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,782,0,-1,783
33,33,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,13181,517,-1,13182
34,34,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,90,0,-1,91
35,35,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,9045,5679,-1,9046
36,36,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1129,0,-1,1130
37,37,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,6627,1027,-1,6628
38,38,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,9384,2580,-1,9385
39,39,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,12667,168,-1,12668
40,40,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,269,0,-1,270
41,41,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,266,345,-1,267
42,42,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,2840,0,-1,2841
43,43,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1981,857,-1,1982
44,44,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,2495,0,-1,2496
45,45,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,3884,859,-1,3885
46,46,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1812,0,-1,1813
47,47,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,3538,0,-1,3539
48,48,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,438,0,-1,439
49,49,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,3886,0,-1,3887
50,50,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1820,168,-1,1821
51,51,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,8698,2754,-1,8699
52,52,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1813,0,-1,1814
53,53,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1123,0,-1,1124
54,54,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1298,0,-1,1299
55,55,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1644,168,-1,1645
56,56,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,4046,0,-1,4047
57,57,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,4560,0,-1,4561
58,58,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,8016,0,-1,8017
59,59,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1292,0,-1,1293
60,60,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,13010,1208,-1,13011
61,61,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,4047,3946,-1,4048
62,62,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,3706,0,-1,3707
63,63,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,4052,3958,-1,4053
64,64,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,3187,1201,-1,3188
65,65,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,2848,0,-1,2849
66,66,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1121,857,-1,1122
67,67,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,779,0,-1,780
68,68,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,779,0,-1,780
69,69,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,780,0,-1,781
70,70,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1122,0,-1,1123
71,71,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,261,0,-1,262
72,72,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,8876,0,-1,8877
73,73,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,4396,681,-1,4397
74,74,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,11117,4476,-1,11118
75,75,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,3019,0,-1,3020
76,76,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,773,0,-1,774
77,77,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,90,0,-1,91
78,78,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1122,0,-1,1123
79,79,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,5255,0,-1,5256
80,80,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,7501,5855,-1,7502
81,81,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1974,0,-1,1975
82,82,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,951,0,-1,952
83,83,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1814,0,-1,1815
84,84,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,261,0,-1,262
85,85,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,12663,5512,-1,12664
86,86,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,10945,6374,-1,10946
87,87,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,5086,0,-1,5087
88,88,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,5086,864,-1,5087
89,89,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1816,0,-1,1817
90,90,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,8689,0,-1,8690
91,91,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,3707,0,-1,3708
92,92,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1471,0,-1,1472
93,93,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,5945,4469,-1,5946
94,94,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1988,692,-1,1989
95,95,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,5599,513,-1,5600
96,96,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,8524,2063,-1,8525
97,97,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,8699,2409,-1,8700
98,98,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,3874,0,-1,3875
99,99,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,1472,0,-1,1473
100,100,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,5942,858,-1,5943
101,101,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,5081,0,-1,5082
102,102,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,25406,1029,-1,25407
103,103,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,2163,0,-1,2164
104,104,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,6123,1373,-1,6124
105,105,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,8519,7052,-1,8520
106,106,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,2848,0,-1,2849
107,107,3275,SDL2_Direct3D,image,SDL2_Direct3D_image,fullscreen,5,windup,2161,0,-1,2162
