,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6458,685,-1,6459
1,1,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6281,4644,-1,6282
2,2,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6631,6022,-1,6632
3,3,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5083,1717,-1,5084
4,4,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5252,1544,-1,5253
5,5,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5423,5502,-1,5424
6,6,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5766,680,-1,5767
7,7,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6473,1900,-1,6474
8,8,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5258,5164,-1,5259
9,9,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,4909,4988,-1,4910
10,10,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6286,2921,-1,6287
11,11,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6467,513,-1,6468
12,12,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,4912,2757,-1,4913
13,13,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5429,3095,-1,5430
14,14,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5593,4638,-1,5594
15,15,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6287,5333,-1,6288
16,16,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6115,688,-1,6116
17,17,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5085,1028,-1,5086
18,18,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,4916,2074,-1,4917
19,19,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,4918,347,-1,4919
20,20,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6457,5681,-1,6458
21,21,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5257,3266,-1,5258
22,22,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5259,3614,-1,5260
23,23,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5592,5328,-1,5593
24,24,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,4914,2073,-1,4915
25,25,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5764,3435,-1,5765
26,26,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5767,2923,-1,5768
27,27,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5596,3265,-1,5597
28,28,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5769,4984,-1,5770
29,29,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6818,0,-1,6819
30,30,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5938,4814,-1,5939
31,31,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5258,1032,-1,5259
32,32,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5611,1551,-1,5612
33,33,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5609,2759,-1,5610
34,34,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6297,5854,-1,6298
35,35,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6639,2758,-1,6640
36,36,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6638,6366,-1,6639
37,37,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5260,3100,-1,5261
38,38,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6298,168,-1,6299
39,39,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6631,1028,-1,6632
40,40,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6811,1029,-1,6812
41,41,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5771,339,-1,5772
42,42,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5264,1892,-1,5265
43,43,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5768,1200,-1,5769
44,44,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5427,4643,-1,5428
45,45,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5777,4474,-1,5778
46,46,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6636,342,-1,6637
47,47,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,4741,3614,-1,4742
48,48,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6298,176,-1,6299
49,49,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5601,3785,-1,5602
50,50,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6640,167,-1,6641
51,51,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6294,3093,-1,6295
52,52,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6113,4986,-1,6114
53,53,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6295,5336,-1,6296
54,54,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6632,1029,-1,6633
55,55,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5773,2062,-1,5774
56,56,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6465,3614,-1,6466
57,57,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5608,5344,-1,5609
58,58,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5084,2232,-1,5085
59,59,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5607,0,-1,5608
60,60,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5256,5162,-1,5257
61,61,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6632,1890,-1,6633
62,62,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6289,4642,-1,6290
63,63,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,4911,1541,-1,4912
64,64,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6120,5165,-1,6121
65,65,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,4913,2064,-1,4914
66,66,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6467,6024,-1,6468
67,67,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5603,4129,-1,5604
68,68,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6119,4991,-1,6120
69,69,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,4908,3434,-1,4909
70,70,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6635,2925,-1,6636
71,71,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6469,3615,-1,6470
72,72,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6123,3094,-1,6124
73,73,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6280,2572,-1,6281
74,74,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,4917,687,-1,4918
75,75,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6113,510,-1,6114
76,76,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6279,2231,-1,6280
77,77,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5425,3958,-1,5426
78,78,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6449,4122,-1,6450
79,79,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,6803,1376,-1,6804
80,80,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,4909,4816,-1,4910
81,81,3859,SDL2_Direct3D,rects,SDL2_Direct3D_rects,fullscreen,,none,5083,1553,-1,5084
